Date,Equity,phase
2021-02-15,10000000.0,IS
2021-02-16,10000000.0,IS
2021-02-17,10000000.0,IS
2021-02-18,10000000.0,IS
2021-02-19,10000000.0,IS
2021-02-22,10000000.0,IS
2021-02-23,10000000.0,IS
2021-02-24,10000000.0,IS
2021-02-25,10000000.0,IS
2021-02-26,10000000.0,IS
2021-03-01,10000000.0,IS
2021-03-02,10000000.0,IS
2021-03-03,10000000.0,IS
2021-03-04,10000000.0,IS
2021-03-05,10000000.0,IS
2021-03-08,10000000.0,IS
2021-03-09,10000000.0,IS
2021-03-10,10000000.0,IS
2021-03-12,10000000.0,IS
2021-03-15,10000000.0,IS
2021-03-16,10000000.0,IS
2021-03-17,10000000.0,IS
2021-03-18,10000000.0,IS
2021-03-19,10000000.0,IS
2021-03-22,10000000.0,IS
2021-03-23,10000000.0,IS
2021-03-24,10000000.0,IS
2021-03-25,10000000.0,IS
2021-03-26,10000000.0,IS
2021-03-29,10000000.0,IS
2021-03-30,10000000.0,IS
2021-03-31,10000000.0,IS
2021-04-01,10000000.0,IS
2021-04-05,10000000.0,IS
2021-04-06,10000000.0,IS
2021-04-07,10000000.0,IS
2021-04-08,10000000.0,IS
2021-04-09,10000000.0,IS
2021-04-12,9976430.237978451,IS
2021-04-13,9976430.237978451,IS
2021-04-14,10314943.641298763,IS
2021-04-15,10314943.641298763,IS
2021-04-16,10314943.641298763,IS
2021-04-19,10218224.818056576,IS
2021-04-20,10411661.756533138,IS
2021-04-21,10266585.291689388,IS
2021-04-22,10665986.38097869,IS
2021-04-23,10665986.38097869,IS
2021-04-26,10665986.38097869,IS
2021-04-27,10665986.38097869,IS
2021-04-28,10665986.38097869,IS
2021-04-29,10665986.38097869,IS
2021-04-30,10665986.38097869,IS
2021-05-03,10665986.38097869,IS
2021-05-04,10665986.38097869,IS
2021-05-05,10665986.38097869,IS
2021-05-06,10665986.38097869,IS
2021-05-07,10665986.38097869,IS
2021-05-10,10665986.38097869,IS
2021-05-11,10665986.38097869,IS
2021-05-17,10665986.38097869,IS
2021-05-18,10665986.38097869,IS
2021-05-19,10665986.38097869,IS
2021-05-20,10665986.38097869,IS
2021-05-21,10665986.38097869,IS
2021-05-24,10665986.38097869,IS
2021-05-25,10665986.38097869,IS
2021-05-27,10665986.38097869,IS
2021-05-28,10665986.38097869,IS
2021-05-31,10665986.38097869,IS
2021-06-02,10665986.38097869,IS
2021-06-03,10665986.38097869,IS
2021-06-04,10665986.38097869,IS
2021-06-07,10665986.38097869,IS
2021-06-08,10665986.38097869,IS
2021-06-09,10665986.38097869,IS
2021-06-10,10665986.38097869,IS
2021-06-11,10665986.38097869,IS
2021-06-14,10665986.38097869,IS
2021-06-15,10665986.38097869,IS
2021-06-16,10665986.38097869,IS
2021-06-17,10665986.38097869,IS
2021-06-18,10665986.38097869,IS
2021-06-21,10665986.38097869,IS
2021-06-22,10665986.38097869,IS
2021-06-23,10665986.38097869,IS
2021-06-24,10665986.38097869,IS
2021-06-25,10665986.38097869,IS
2021-06-28,10640694.525084233,IS
2021-06-29,10931446.600279545,IS
2021-06-30,11155100.55535767,IS
2021-07-01,11345206.658873295,IS
2021-07-02,11289291.96160767,IS
2021-07-05,11155100.55535767,IS
2021-07-06,11065638.006529545,IS
2021-07-07,11065638.006529545,IS
2021-07-08,11020905.92645142,IS
2021-07-09,11088003.240904545,IS
2021-07-12,11110369.280943608,IS
2021-07-13,11065638.006529545,IS
2021-07-14,10685426.605162358,IS
2021-07-15,10864350.091490483,IS
2021-07-16,11020905.92645142,IS
2021-07-19,10797252.777037358,IS
2021-07-21,10998541.497740483,IS
2021-07-22,11206709.346114319,IS
2021-07-23,11206709.346114319,IS
2021-07-26,11206709.346114319,IS
2021-07-27,11206709.346114319,IS
2021-07-28,11206709.346114319,IS
2021-07-29,11206709.346114319,IS
2021-07-30,11206709.346114319,IS
2021-08-02,11206709.346114319,IS
2021-08-03,11206709.346114319,IS
2021-08-04,11206709.346114319,IS
2021-08-05,11206709.346114319,IS
2021-08-06,11206709.346114319,IS
2021-08-09,11206709.346114319,IS
2021-08-10,11206709.346114319,IS
2021-08-12,11206709.346114319,IS
2021-08-13,11206709.346114319,IS
2021-08-16,11206709.346114319,IS
2021-08-18,11206709.346114319,IS
2021-08-19,11206709.346114319,IS
2021-08-20,11206709.346114319,IS
2021-08-23,11206709.346114319,IS
2021-08-24,11206709.346114319,IS
2021-08-25,11206709.346114319,IS
2021-08-26,11206709.346114319,IS
2021-08-27,11206709.346114319,IS
2021-08-30,11206709.346114319,IS
2021-08-31,11206709.346114319,IS
2021-09-01,11206709.346114319,IS
2021-09-02,11206709.346114319,IS
2021-09-03,11206709.346114319,IS
2021-09-06,11206709.346114319,IS
2021-09-07,11206709.346114319,IS
2021-09-08,11206709.346114319,IS
2021-09-09,11206709.346114319,IS
2021-09-10,11206709.346114319,IS
2021-09-13,11206709.346114319,IS
2021-09-14,11206709.346114319,IS
2021-09-15,11206709.346114319,IS
2021-09-16,11206709.346114319,IS
2021-09-17,11206709.346114319,IS
2021-09-20,11206709.346114319,IS
2021-09-21,11206709.346114319,IS
2021-09-22,11206709.346114319,IS
2021-09-23,11206709.346114319,IS
2021-09-24,11206709.346114319,IS
2021-09-27,11206709.346114319,IS
2021-09-28,11206709.346114319,IS
2021-09-29,11206709.346114319,IS
2021-09-30,11206709.346114319,IS
2021-10-01,11206709.346114319,IS
2021-10-04,11206709.346114319,IS
2021-10-05,11206709.346114319,IS
2021-10-06,11206709.346114319,IS
2021-10-07,11206709.346114319,IS
2021-10-08,11206709.346114319,IS
2021-10-11,11206709.346114319,IS
2021-10-12,11206709.346114319,IS
2021-10-13,11206709.346114319,IS
2021-10-14,11206709.346114319,IS
2021-10-15,11206709.346114319,IS
2021-10-18,11206709.346114319,IS
2021-10-19,11206709.346114319,IS
2021-10-21,11206709.346114319,IS
2021-10-22,11206709.346114319,IS
2021-10-25,11206709.346114319,IS
2021-10-26,11206709.346114319,IS
2021-10-27,11206709.346114319,IS
2021-10-28,11206709.346114319,IS
2021-10-29,11206709.346114319,IS
2021-11-01,11206709.346114319,IS
2021-11-02,11206709.346114319,IS
2021-11-03,11206709.346114319,IS
2021-11-04,11206709.346114319,IS
2021-11-05,11206709.346114319,IS
2021-11-08,11206709.346114319,IS
2021-11-09,11206709.346114319,IS
2021-11-10,11206709.346114319,IS
2021-11-11,11206709.346114319,IS
2021-11-12,11206709.346114319,IS
2021-11-15,11206709.346114319,IS
2021-11-16,11206709.346114319,IS
2021-11-17,11206709.346114319,IS
2021-11-18,11206709.346114319,IS
2021-11-19,11206709.346114319,IS
2021-11-22,11206709.346114319,IS
2021-11-23,11206709.346114319,IS
2021-11-24,11206709.346114319,IS
2021-11-25,11206709.346114319,IS
2021-11-26,11206709.346114319,IS
2021-11-29,11206709.346114319,IS
2021-11-30,11206709.346114319,IS
2021-12-01,11180761.898923123,IS
2021-12-02,11563317.367673123,IS
2021-12-03,11372040.316891873,IS
2021-12-06,11180761.898923123,IS
2021-12-07,11706774.301266873,IS
2021-12-08,11467678.500485623,IS
2021-12-09,11850231.918454373,IS
2021-12-10,11706774.301266873,IS
2021-12-13,11658954.867673123,IS
2021-12-14,11611135.434079373,IS
2021-12-15,11850231.918454373,IS
2021-12-16,11467678.500485623,IS
2021-12-17,11467678.500485623,IS
2021-12-20,11228582.016110623,IS
2021-12-21,11180761.898923123,IS
2021-12-22,11132942.465329373,IS
2021-12-23,11324218.148923123,IS
2021-12-24,11228582.016110623,IS
2021-12-27,11228582.016110623,IS
2021-12-28,11324218.148923123,IS
2021-12-29,11372040.316891873,IS
2021-12-30,11276401.449704373,IS
2022-01-03,11324218.148923123,IS
2022-01-04,11419858.383298123,IS
2022-01-05,11037303.598141873,IS
2022-01-06,11228582.016110623,IS
2022-01-07,11276401.449704373,IS
2022-01-10,11180761.898923123,IS
2022-01-11,11276401.449704373,IS
2022-01-12,11324218.148923123,IS
