Date,Equity,phase
2021-01-15,10000000.0,IS
2021-01-18,10000000.0,IS
2021-01-19,10000000.0,IS
2021-01-20,10000000.0,IS
2021-01-21,10000000.0,IS
2021-01-22,10000000.0,IS
2021-01-25,10000000.0,IS
2021-01-26,9976478.188865565,IS
2021-01-27,9933383.02284994,IS
2021-01-28,10091397.524803065,IS
2021-01-29,9890287.02675619,IS
2021-02-01,9976478.188865565,IS
2021-02-02,9947747.524803065,IS
2021-02-03,9983658.364646815,IS
2021-02-04,10026754.360740565,IS
2021-02-05,10079184.901938584,IS
2021-02-08,10079184.901938584,IS
2021-02-09,10079184.901938584,IS
2021-02-10,10079184.901938584,IS
2021-02-11,10079184.901938584,IS
2021-02-15,10079184.901938584,IS
2021-02-16,10079184.901938584,IS
2021-02-17,10079184.901938584,IS
2021-02-18,10055956.25559169,IS
2021-02-19,10185240.093482316,IS
2021-02-22,10134964.75168544,IS
2021-02-23,10185240.093482316,IS
2021-02-24,10041592.58371669,IS
2021-02-25,10012861.91965419,IS
2021-02-26,10020043.75559169,IS
2021-03-01,10466876.306748683,IS
2021-03-02,10466876.306748683,IS
2021-03-03,10466876.306748683,IS
2021-03-04,10466876.306748683,IS
2021-03-05,10466876.306748683,IS
2021-03-08,10466876.306748683,IS
2021-03-09,10466876.306748683,IS
2021-03-10,10466876.306748683,IS
2021-03-12,10466876.306748683,IS
2021-03-15,10466876.306748683,IS
2021-03-16,10466876.306748683,IS
2021-03-17,10466876.306748683,IS
2021-03-18,10466876.306748683,IS
2021-03-19,10466876.306748683,IS
2021-03-22,10466876.306748683,IS
2021-03-23,10466876.306748683,IS
2021-03-24,10442052.013064737,IS
2021-03-25,10329667.198611612,IS
2021-03-26,10401914.513064737,IS
2021-03-29,10313612.755252237,IS
2021-03-30,10369804.698611612,IS
2021-03-31,10080816.368533487,IS
2021-04-01,10096870.811892862,IS
2021-04-05,9984486.925174112,IS
2021-04-06,10000542.296267862,IS
2021-04-07,10137008.311892862,IS
2021-04-08,10090447.179080362,IS
2021-04-09,10161964.738910966,IS
2021-04-12,10161964.738910966,IS
2021-04-13,10138512.312300684,IS
2021-04-14,10600167.97114485,IS
2021-04-15,10600167.97114485,IS
2021-04-16,10600167.97114485,IS
2021-04-19,10600167.97114485,IS
2021-04-20,10600167.97114485,IS
2021-04-21,10600167.97114485,IS
2021-04-22,10600167.97114485,IS
2021-04-23,10600167.97114485,IS
2021-04-26,10600167.97114485,IS
2021-04-27,10600167.97114485,IS
2021-04-28,10600167.97114485,IS
2021-04-29,10600167.97114485,IS
2021-04-30,10600167.97114485,IS
2021-05-03,10600167.97114485,IS
2021-05-04,10600167.97114485,IS
2021-05-05,10600167.97114485,IS
2021-05-06,10600167.97114485,IS
2021-05-07,10600167.97114485,IS
2021-05-10,10600167.97114485,IS
2021-05-11,10600167.97114485,IS
2021-05-17,10600167.97114485,IS
2021-05-18,10600167.97114485,IS
2021-05-19,10575367.027754758,IS
2021-05-20,10632346.617598508,IS
2021-05-21,10599787.779707883,IS
2021-05-24,10542807.262129758,IS
2021-05-25,10591646.910567258,IS
2021-05-27,10453267.906661008,IS
2021-05-28,10567226.158614133,IS
2021-05-31,10588934.902347544,IS
2021-06-02,10588934.902347544,IS
2021-06-03,10588934.902347544,IS
2021-06-04,10588934.902347544,IS
2021-06-07,10588934.902347544,IS
2021-06-08,10588934.902347544,IS
2021-06-09,10588934.902347544,IS
2021-06-10,10588934.902347544,IS
2021-06-11,10588934.902347544,IS
2021-06-14,10588934.902347544,IS
2021-06-15,10588934.902347544,IS
2021-06-16,10588934.902347544,IS
2021-06-17,10564192.58973441,IS
2021-06-18,10556052.64832816,IS
2021-06-21,10433952.599500036,IS
2021-06-22,10580471.544812536,IS
2021-06-23,10401393.76160941,IS
2021-06-24,10368833.068250036,IS
2021-06-25,10336274.23035941,IS
2021-06-28,10116493.95692191,IS
2021-06-29,10100214.07410941,IS
2021-06-30,10067653.380750036,IS
2021-07-01,10067653.380750036,IS
2021-07-02,10189753.42957816,IS
