Date,Equity,BuyHold,phase
2021-01-15,10000000.0,10000000.0,IS
2021-01-18,10000000.0,10237239.549623637,IS
2021-01-19,10000000.0,10201294.817920072,IS
2021-01-20,10000000.0,10201294.817920072,IS
2021-01-21,10000000.0,10172538.534051822,IS
2021-01-22,10000000.0,10179725.32020248,IS
2021-01-25,10000000.0,10115024.304630667,IS
2021-01-26,9976478.190858541,9805895.291599901,IS
2021-01-27,9933383.854921041,9762761.281218693,IS
2021-01-28,10091398.356874166,9920921.257915227,IS
2021-01-29,9890288.688905416,9719626.439995155,IS
2021-02-01,9976478.190858541,9805895.291599901,IS
2021-02-02,9947748.356874166,9777139.007731652,IS
2021-02-03,9983660.856874166,9813084.570277546,IS
2021-02-04,10026756.852967916,9856220.242343415,IS
2021-02-05,10079185.734009685,9942487.432263501,IS
2021-02-08,10079185.734009685,9949676.710941147,IS
2021-02-09,10079185.734009685,10035945.562545894,IS
2021-02-10,10079185.734009685,9949676.710941147,IS
2021-02-11,10079185.734009685,9892164.97404698,IS
2021-02-15,10079185.734009685,9777139.007731652,IS
2021-02-16,10079185.734009685,9978433.825651724,IS
2021-02-17,10079185.734009685,9920921.257915227,IS
2021-02-18,10055957.087662792,9683680.046606932,IS
2021-02-19,10185242.585709667,9813084.570277546,IS
2021-02-22,10134965.583756542,9762761.281218693,IS
2021-02-23,10185242.585709667,9813084.570277546,IS
2021-02-24,10041591.755631542,9669301.489251642,IS
2021-02-25,10012861.921647167,9640545.205383392,IS
2021-02-26,10020046.247819042,9647736.145745696,IS
2021-03-01,10466877.966076847,10129404.523670616,IS
2021-03-02,10466877.966076847,10086268.020762417,IS
2021-03-03,10466877.966076847,10064701.846414143,IS
2021-03-04,10466877.966076847,9662113.041416327,IS
2021-03-05,10466877.966076847,9777139.007731652,IS
2021-03-08,10466877.966076847,9662113.041416327,IS
2021-03-09,10466877.966076847,9496765.447726807,IS
2021-03-10,10466877.966076847,9640545.205383392,IS
