Date,Equity,phase
2021-01-29,10000000.0,IS
2021-02-01,10000000.0,IS
2021-02-02,10000000.0,IS
2021-02-03,10000000.0,IS
2021-02-04,10000000.0,IS
2021-02-05,10000000.0,IS
2021-02-08,10000000.0,IS
2021-02-09,10000000.0,IS
2021-02-10,10000000.0,IS
2021-02-11,10000000.0,IS
2021-02-15,10000000.0,IS
2021-02-16,10000000.0,IS
2021-02-17,10000000.0,IS
2021-02-18,10000000.0,IS
2021-02-19,10000000.0,IS
2021-02-22,10000000.0,IS
2021-02-23,10000000.0,IS
2021-02-24,10000000.0,IS
2021-02-25,10000000.0,IS
2021-02-26,10000000.0,IS
2021-03-01,10000000.0,IS
2021-03-02,10000000.0,IS
2021-03-03,10000000.0,IS
2021-03-04,10000000.0,IS
2021-03-05,10000000.0,IS
2021-03-08,10000000.0,IS
2021-03-09,10000000.0,IS
2021-03-10,10000000.0,IS
2021-03-12,10000000.0,IS
2021-03-15,10000000.0,IS
2021-03-16,10000000.0,IS
2021-03-17,10000000.0,IS
2021-03-18,10000000.0,IS
2021-03-19,10000000.0,IS
2021-03-22,10000000.0,IS
2021-03-23,10000000.0,IS
2021-03-24,10000000.0,IS
2021-03-25,10000000.0,IS
2021-03-26,10000000.0,IS
2021-03-29,10000000.0,IS
2021-03-30,10000000.0,IS
2021-03-31,9976652.188279485,IS
2021-04-01,9733542.324998235,IS
2021-04-05,9534633.633591985,IS
2021-04-06,9758496.060349798,IS
2021-04-07,9758496.060349798,IS
2021-04-08,10098005.45976386,IS
2021-04-09,10098005.45976386,IS
2021-04-12,9781128.99492011,IS
2021-04-13,9667960.04960761,IS
2021-04-14,10098005.45976386,IS
2021-04-15,10199885.35780852,IS
2021-04-16,10199885.35780852,IS
2021-04-19,10199885.35780852,IS
2021-04-20,10199885.35780852,IS
2021-04-21,10199885.35780852,IS
2021-04-22,10199885.35780852,IS
2021-04-23,10199885.35780852,IS
2021-04-26,10199885.35780852,IS
2021-04-27,10199885.35780852,IS
2021-04-28,10199885.35780852,IS
2021-04-29,10199885.35780852,IS
2021-04-30,10199885.35780852,IS
2021-05-03,10199885.35780852,IS
2021-05-04,10199885.35780852,IS
2021-05-05,10199885.35780852,IS
2021-05-06,10199885.35780852,IS
2021-05-07,10199885.35780852,IS
2021-05-10,10199885.35780852,IS
2021-05-11,10199885.35780852,IS
2021-05-17,10199885.35780852,IS
2021-05-18,10199885.35780852,IS
2021-05-19,10199885.35780852,IS
2021-05-20,10199885.35780852,IS
2021-05-21,10199885.35780852,IS
2021-05-24,10199885.35780852,IS
2021-05-25,10199885.35780852,IS
2021-05-27,10199885.35780852,IS
2021-05-28,10199885.35780852,IS
2021-05-31,10199885.35780852,IS
2021-06-02,10199885.35780852,IS
2021-06-03,10199885.35780852,IS
2021-06-04,10199885.35780852,IS
2021-06-07,10199885.35780852,IS
2021-06-08,10199885.35780852,IS
2021-06-09,10199885.35780852,IS
2021-06-10,10199885.35780852,IS
2021-06-11,10199885.35780852,IS
2021-06-14,10199885.35780852,IS
2021-06-15,10199885.35780852,IS
2021-06-16,10199885.35780852,IS
2021-06-17,10199885.35780852,IS
2021-06-18,10199885.35780852,IS
2021-06-21,10199885.35780852,IS
2021-06-22,10199885.35780852,IS
2021-06-23,10199885.35780852,IS
2021-06-24,10199885.35780852,IS
2021-06-25,10199885.35780852,IS
2021-06-28,10199885.35780852,IS
2021-06-29,10199885.35780852,IS
2021-06-30,10199885.35780852,IS
2021-07-01,10199885.35780852,IS
2021-07-02,10199885.35780852,IS
2021-07-05,10199885.35780852,IS
2021-07-06,10199885.35780852,IS
2021-07-07,10199885.35780852,IS
2021-07-08,10199885.35780852,IS
2021-07-09,10199885.35780852,IS
2021-07-12,10199885.35780852,IS
2021-07-13,10199885.35780852,IS
2021-07-14,10199885.35780852,IS
2021-07-15,10199885.35780852,IS
2021-07-16,10199885.35780852,IS
2021-07-19,10199885.35780852,IS
2021-07-21,10199885.35780852,IS
2021-07-22,10199885.35780852,IS
2021-07-23,10199885.35780852,IS
2021-07-26,10199885.35780852,IS
2021-07-27,10199885.35780852,IS
2021-07-28,10199885.35780852,IS
2021-07-29,10199885.35780852,IS
2021-07-30,10199885.35780852,IS
2021-08-02,10199885.35780852,IS
2021-08-03,10199885.35780852,IS
2021-08-04,10199885.35780852,IS
2021-08-05,10199885.35780852,IS
2021-08-06,10199885.35780852,IS
2021-08-09,10199885.35780852,IS
2021-08-10,10199885.35780852,IS
2021-08-12,10199885.35780852,IS
2021-08-13,10199885.35780852,IS
2021-08-16,10199885.35780852,IS
2021-08-18,10199885.35780852,IS
2021-08-19,10199885.35780852,IS
2021-08-20,10199885.35780852,IS
2021-08-23,10199885.35780852,IS
2021-08-24,10199885.35780852,IS
2021-08-25,10199885.35780852,IS
2021-08-26,10199885.35780852,IS
2021-08-27,10199885.35780852,IS
2021-08-30,10199885.35780852,IS
2021-08-31,10199885.35780852,IS
2021-09-01,10199885.35780852,IS
2021-09-02,10199885.35780852,IS
2021-09-03,10199885.35780852,IS
2021-09-06,10199885.35780852,IS
2021-09-07,10199885.35780852,IS
2021-09-08,10199885.35780852,IS
2021-09-09,10199885.35780852,IS
2021-09-10,10199885.35780852,IS
2021-09-13,10199885.35780852,IS
2021-09-14,10199885.35780852,IS
2021-09-15,10199885.35780852,IS
2021-09-16,10199885.35780852,IS
2021-09-17,10199885.35780852,IS
2021-09-20,10199885.35780852,IS
2021-09-21,10199885.35780852,IS
2021-09-22,10199885.35780852,IS
2021-09-23,10199885.35780852,IS
2021-09-24,10199885.35780852,IS
2021-09-27,10199885.35780852,IS
2021-09-28,10199885.35780852,IS
2021-09-29,10199885.35780852,IS
2021-09-30,10199885.35780852,IS
2021-10-01,10199885.35780852,IS
2021-10-04,10199885.35780852,IS
2021-10-05,10199885.35780852,IS
2021-10-06,10199885.35780852,IS
2021-10-07,10199885.35780852,IS
2021-10-08,10199885.35780852,IS
2021-10-11,10199885.35780852,IS
2021-10-12,10199885.35780852,IS
2021-10-13,10199885.35780852,IS
2021-10-14,10199885.35780852,IS
2021-10-15,10199885.35780852,IS
2021-10-18,10199885.35780852,IS
2021-10-19,10199885.35780852,IS
