Date,Equity,phase
2021-01-29,10000000.0,IS
2021-02-01,10000000.0,IS
2021-02-02,10000000.0,IS
2021-02-03,10000000.0,IS
2021-02-04,10000000.0,IS
2021-02-05,10000000.0,IS
2021-02-08,10000000.0,IS
2021-02-09,10000000.0,IS
2021-02-10,10000000.0,IS
2021-02-11,10000000.0,IS
2021-02-15,10000000.0,IS
2021-02-16,10000000.0,IS
2021-02-17,10000000.0,IS
2021-02-18,10000000.0,IS
2021-02-19,10000000.0,IS
2021-02-22,10000000.0,IS
2021-02-23,10000000.0,IS
2021-02-24,10000000.0,IS
2021-02-25,10000000.0,IS
2021-02-26,9976283.771060059,IS
2021-03-01,10623009.970145714,IS
2021-03-02,10623009.970145714,IS
2021-03-03,10623009.970145714,IS
2021-03-04,10623009.970145714,IS
2021-03-05,10623009.970145714,IS
2021-03-08,10623009.970145714,IS
2021-03-09,10623009.970145714,IS
2021-03-10,10623009.970145714,IS
2021-03-12,10623009.970145714,IS
2021-03-15,10623009.970145714,IS
2021-03-16,10623009.970145714,IS
2021-03-17,10623009.970145714,IS
2021-03-18,10623009.970145714,IS
2021-03-19,10623009.970145714,IS
2021-03-22,10623009.970145714,IS
2021-03-23,10623009.970145714,IS
2021-03-24,10623009.970145714,IS
2021-03-25,10623009.970145714,IS
2021-03-26,10623009.970145714,IS
2021-03-29,10623009.970145714,IS
2021-03-30,10623009.970145714,IS
2021-03-31,10597962.585416397,IS
2021-04-01,10682778.210416397,IS
2021-04-05,10725186.022916397,IS
2021-04-06,10810000.476041397,IS
2021-04-07,10894814.929166397,IS
2021-04-08,10810000.476041397,IS
2021-04-09,11111933.558091886,IS
2021-04-12,11111933.558091886,IS
2021-04-13,11111933.558091886,IS
2021-04-14,11111933.558091886,IS
2021-04-15,11111933.558091886,IS
2021-04-16,11111933.558091886,IS
2021-04-19,11111933.558091886,IS
2021-04-20,11111933.558091886,IS
2021-04-21,11085428.897533713,IS
2021-04-22,11085428.897533713,IS
2021-04-23,11130488.44343215,IS
2021-04-26,10815081.583080588,IS
2021-04-27,10950255.24030715,IS
2021-04-28,11220605.04499465,IS
2021-04-29,11265663.3457759,IS
2021-04-30,11175546.7442134,IS
2021-05-03,10950255.24030715,IS
2021-05-04,11040370.596752463,IS
2021-05-05,10950255.24030715,IS
2021-05-06,10995314.786205588,IS
2021-05-07,10770023.282299338,IS
2021-05-10,10815081.583080588,IS
2021-05-11,10679906.680736838,IS
2021-05-17,10724964.981518088,IS
2021-05-18,10679906.680736838,IS
2021-05-19,10274384.463939963,IS
2021-05-20,10229325.54060012,IS
2021-05-21,10544731.778393088,IS
2021-05-24,10409557.498607932,IS
2021-05-25,10679906.680736838,IS
2021-05-27,10409557.498607932,IS
2021-05-28,10499674.722729025,IS
2021-05-31,10823388.134587172,IS
2021-06-02,10823388.134587172,IS
2021-06-03,10823388.134587172,IS
2021-06-04,10823388.134587172,IS
2021-06-07,10823388.134587172,IS
2021-06-08,10823388.134587172,IS
2021-06-09,10823388.134587172,IS
2021-06-10,10823388.134587172,IS
2021-06-11,10823388.134587172,IS
2021-06-14,10823388.134587172,IS
2021-06-15,10823388.134587172,IS
2021-06-16,10823388.134587172,IS
2021-06-17,10823388.134587172,IS
2021-06-18,10823388.134587172,IS
2021-06-21,10823388.134587172,IS
2021-06-22,10823388.134587172,IS
2021-06-23,10823388.134587172,IS
2021-06-24,10823388.134587172,IS
2021-06-25,10797857.112595418,IS
2021-06-28,10437391.951462606,IS
2021-06-29,10572566.853806356,IS
2021-06-30,10797857.112595418,IS
2021-07-01,10933032.014939168,IS
2021-07-02,10887973.714157918,IS
2021-07-05,10707740.511032918,IS
2021-07-06,10572566.853806356,IS
2021-07-07,10527507.930466512,IS
2021-07-08,10797857.112595418,IS
2021-07-09,10572566.853806356,IS
2021-07-12,10617625.154587606,IS
2021-07-13,10572566.853806356,IS
2021-07-14,10437391.951462606,IS
2021-07-15,10752800.056931356,IS
2021-07-16,10716813.967865698,IS
2021-07-19,10716813.967865698,IS
2021-07-21,10716813.967865698,IS
2021-07-22,10716813.967865698,IS
2021-07-23,10716813.967865698,IS
2021-07-26,10716813.967865698,IS
2021-07-27,10716813.967865698,IS
2021-07-28,10716813.967865698,IS
2021-07-29,10716813.967865698,IS
2021-07-30,10716813.967865698,IS
2021-08-02,10691293.549796231,IS
2021-08-03,10878593.427725919,IS
2021-08-04,10935163.692069778,IS
2021-08-05,10935163.692069778,IS
2021-08-06,10935163.692069778,IS
2021-08-09,10935163.692069778,IS
2021-08-10,10935163.692069778,IS
2021-08-12,10935163.692069778,IS
2021-08-13,10935163.692069778,IS
2021-08-16,10935163.692069778,IS
2021-08-18,10935163.692069778,IS
2021-08-19,10935163.692069778,IS
2021-08-20,10935163.692069778,IS
2021-08-23,10935163.692069778,IS
2021-08-24,10935163.692069778,IS
2021-08-25,10935163.692069778,IS
2021-08-26,10935163.692069778,IS
2021-08-27,10935163.692069778,IS
2021-08-30,10935163.692069778,IS
2021-08-31,10935163.692069778,IS
2021-09-01,10935163.692069778,IS
2021-09-02,10935163.692069778,IS
2021-09-03,10935163.692069778,IS
2021-09-06,10935163.692069778,IS
2021-09-07,10935163.692069778,IS
2021-09-08,10935163.692069778,IS
2021-09-09,10935163.692069778,IS
2021-09-10,10935163.692069778,IS
2021-09-13,10935163.692069778,IS
2021-09-14,10935163.692069778,IS
2021-09-15,10935163.692069778,IS
2021-09-16,10935163.692069778,IS
2021-09-17,10935163.692069778,IS
2021-09-20,10935163.692069778,IS
2021-09-21,10935163.692069778,IS
2021-09-22,10935163.692069778,IS
2021-09-23,10935163.692069778,IS
2021-09-24,10935163.692069778,IS
2021-09-27,10909132.061803676,IS
2021-09-28,11001015.655553676,IS
2021-09-29,11092899.249303676,IS
2021-09-30,11330139.580564912,IS
2021-10-01,11330139.580564912,IS
2021-10-04,11330139.580564912,IS
2021-10-05,11330139.580564912,IS
2021-10-06,11330139.580564912,IS
2021-10-07,11330139.580564912,IS
2021-10-08,11330139.580564912,IS
2021-10-11,11330139.580564912,IS
2021-10-12,11330139.580564912,IS
2021-10-13,11330139.580564912,IS
2021-10-14,11330139.580564912,IS
