Date,Equity,BuyHold,phase
2021-01-29,10000000.0,10000000.0,IS
2021-02-01,10000000.0,10190111.478043236,IS
2021-02-02,10000000.0,9847906.254003303,IS
2021-02-03,10000000.0,9885931.59198669,IS
2021-02-04,10000000.0,10000000.0,IS
2021-02-05,10000000.0,9961975.74857902,IS
2021-02-08,10000000.0,10000000.0,IS
2021-02-09,10000000.0,9885931.59198669,IS
2021-02-10,10000000.0,9885931.59198669,IS
2021-02-11,10000000.0,9885931.59198669,IS
2021-02-15,10000000.0,9885931.59198669,IS
2021-02-16,10000000.0,9847906.254003303,IS
2021-02-17,10000000.0,9657794.775960067,IS
2021-02-18,10000000.0,9505702.116525777,IS
2021-02-19,10000000.0,9695817.94081864,IS
2021-02-22,10000000.0,9695817.94081864,IS
2021-02-23,10000000.0,9619770.524539089,IS
2021-02-24,10000000.0,9695817.94081864,IS
2021-02-25,10000000.0,9543726.367946757,IS
2021-02-26,9976283.768305065,9353611.6302163,IS
2021-03-01,10623009.963491017,10000000.0,IS
2021-03-02,10623009.963491017,10038022.078296164,IS
2021-03-03,10623009.963491017,10038022.078296164,IS
2021-03-04,10623009.963491017,9961975.74857902,IS
2021-03-05,10623009.963491017,9847906.254003303,IS
2021-03-08,10623009.963491017,9771863.183973378,IS
2021-03-09,10623009.963491017,9771863.183973378,IS
2021-03-10,10623009.963491017,9885931.59198669,IS
2021-03-12,10623009.963491017,10228135.729464214,IS
2021-03-15,10623009.963491017,10114068.40801331,IS
2021-03-16,10623009.963491017,9961975.74857902,IS
2021-03-17,10623009.963491017,9923953.670282854,IS
2021-03-18,10623009.963491017,10342206.310602339,IS
2021-03-19,10623009.963491017,10304182.059181359,IS
2021-03-22,10623009.963491017,10076044.156592332,IS
2021-03-23,10623009.963491017,10152090.486309478,IS
2021-03-24,10623009.963491017,10105333.53282619,IS
2021-03-25,10623009.963491017,10066013.012454068,IS
2021-03-26,10623009.963491017,10105333.53282619,IS
2021-03-29,10623009.963491017,10026693.578644354,IS
2021-03-30,10623009.963491017,9948053.624462519,IS
2021-03-31,10597962.581575315,9672808.89529526,IS
2021-04-01,10682778.206575315,9751449.936039504,IS
2021-04-05,10725186.019075315,9790770.456411626,IS
2021-04-06,10810001.644075315,9869411.49715587,IS
2021-04-07,10894818.440950315,9948053.624462519,IS
2021-04-08,10810001.644075315,9869411.49715587,IS
2021-04-09,11111934.726125805,10183974.573570434,IS
2021-04-12,11111934.726125805,9908732.01752799,IS
2021-04-13,11111934.726125805,9908732.01752799,IS
2021-04-14,11111934.726125805,9948053.624462519,IS
2021-04-15,11111934.726125805,9908732.01752799,IS
2021-04-16,11111934.726125805,9908732.01752799,IS
2021-04-19,11111934.726125805,9790770.456411626,IS
2021-04-20,11111934.726125805,9751449.936039504,IS
2021-04-21,11085430.062578166,9633489.461485546,IS
2021-04-22,11085430.062578166,9633489.461485546,IS
2021-04-23,11130487.118242228,9672808.89529526,IS
2021-04-26,10815080.257890666,9397566.339252817,IS
2021-04-27,10950256.405351603,9515528.986931589,IS
2021-04-28,11220603.719804728,9751449.936039504,IS
2021-04-29,11265662.020585978,9790770.456411626,IS
2021-04-30,11175545.419023478,9712129.415667383,IS
2021-05-03,10950256.405351603,9515528.986931589,IS
2021-05-04,11040371.761796916,9594168.941113425,IS
2021-05-05,10950256.405351603,9515528.986931589,IS
2021-05-06,10995314.706132853,9554849.50730371,IS
2021-05-07,10770023.202226603,9358246.905443102,IS
2021-05-10,10815080.257890666,9397566.339252817,IS
2021-05-11,10679906.600664103,9279605.864698859,IS
2021-05-17,10724963.656328166,9318925.298508573,IS
2021-05-18,10679906.600664103,9279605.864698859,IS
2021-05-19,10274383.13875004,8925722.267912172,IS
2021-05-20,10229324.83796879,8886401.747540051,IS
2021-05-21,10544731.698320353,9161644.303582495,IS
2021-05-24,10409558.663652385,9043684.372309739,IS
2021-05-25,10679906.600664103,9279605.864698859,IS
2021-05-27,10409558.663652385,9043684.372309739,IS
2021-05-28,10499673.397539103,9122323.783210373,IS
2021-05-31,10823388.054514438,9436887.946187345,IS
2021-06-02,10823388.054514438,9594168.941113425,IS
2021-06-03,10823388.054514438,9830090.976783747,IS
2021-06-04,10823388.054514438,9633489.461485546,IS
2021-06-07,10823388.054514438,9633489.461485546,IS
2021-06-08,10823388.054514438,9436887.946187345,IS
2021-06-09,10823388.054514438,9672808.89529526,IS
2021-06-10,10823388.054514438,9751449.936039504,IS
2021-06-11,10823388.054514438,9869411.49715587,IS
2021-06-14,10823388.054514438,9869411.49715587,IS
2021-06-15,10823388.054514438,9948053.624462519,IS
2021-06-16,10823388.054514438,9869411.49715587,IS
2021-06-17,10823388.054514438,9751449.936039504,IS
2021-06-18,10823388.054514438,9751449.936039504,IS
2021-06-21,10823388.054514438,9476208.466559466,IS
2021-06-22,10823388.054514438,9712129.415667383,IS
2021-06-23,10823388.054514438,9476208.466559466,IS
2021-06-24,10823388.054514438,9397566.339252817,IS
2021-06-25,10797857.032522684,9279605.864698859,IS
2021-06-28,10437392.493948465,8965043.331565496,IS
2021-06-29,10572567.396292215,9083004.892681861,IS
2021-06-30,10797857.032522684,9279605.864698859,IS
2021-07-01,10933030.689749246,9397566.339252817,IS
2021-07-02,10887973.634085184,9358246.905443102,IS
2021-07-05,10707740.430960184,9200964.823954616,IS
2021-07-06,10572567.396292215,9083004.892681861,IS
2021-07-07,10527509.095510965,9043684.372309739,IS
2021-07-08,10797857.032522684,9279605.864698859,IS
2021-07-09,10572567.396292215,9083004.892681861,IS
2021-07-12,10617623.829397684,9122323.783210373,IS
2021-07-13,10572567.396292215,9083004.892681861,IS
2021-07-14,10437392.493948465,8965043.331565496,IS
2021-07-15,10752799.976858621,9240286.430889145,IS
2021-07-16,10716813.887792964,9240286.430889145,IS
2021-07-19,10716813.887792964,9043684.372309739,IS
2021-07-21,10716813.887792964,9318925.298508573,IS
2021-07-22,10716813.887792964,9515528.986931589,IS
2021-07-23,10716813.887792964,9397566.339252817,IS
2021-07-26,10716813.887792964,9122323.783210373,IS
2021-07-27,10716813.887792964,9161644.303582495,IS
2021-07-28,10716813.887792964,9279605.864698859,IS
2021-07-29,10716813.887792964,9043684.372309739,IS
2021-07-30,10716813.887792964,8965043.331565496,IS
2021-08-02,10691293.472830195,8925722.267912172,IS
2021-08-03,10878595.291677851,9083004.892681861,IS
2021-08-04,10935164.909049055,9161644.303582495,IS
