Date,Equity,phase
2021-01-29,9976079.991952851,IS
2021-02-01,10360494.908945039,IS
2021-02-02,10488632.848398164,IS
2021-02-03,10392528.844491914,IS
2021-02-04,10552702.916757539,IS
2021-02-05,10552702.916757539,IS
2021-02-08,10520667.882577851,IS
2021-02-09,10264390.905038789,IS
2021-02-10,10232356.969491914,IS
2021-02-11,10232356.969491914,IS
2021-02-15,10328460.973398164,IS
2021-02-16,10296427.037851289,IS
2021-02-17,10104219.030038789,IS
2021-02-18,10200321.935312226,IS
2021-02-19,10296427.037851289,IS
2021-02-22,10168287.999765351,IS
2021-02-23,11091543.2743397,IS
2021-02-24,11091543.2743397,IS
2021-02-25,11091543.2743397,IS
2021-02-26,11091543.2743397,IS
2021-03-01,11091543.2743397,IS
2021-03-02,11091543.2743397,IS
2021-03-03,11091543.2743397,IS
2021-03-04,11091543.2743397,IS
2021-03-05,11091543.2743397,IS
2021-03-08,11091543.2743397,IS
2021-03-09,11091543.2743397,IS
2021-03-10,11091543.2743397,IS
2021-03-12,11091543.2743397,IS
2021-03-15,11091543.2743397,IS
2021-03-16,11091543.2743397,IS
2021-03-17,11091543.2743397,IS
2021-03-18,11091543.2743397,IS
2021-03-19,11091543.2743397,IS
2021-03-22,11091543.2743397,IS
2021-03-23,11091543.2743397,IS
2021-03-24,11091543.2743397,IS
2021-03-25,11091543.2743397,IS
2021-03-26,11091543.2743397,IS
2021-03-29,11091543.2743397,IS
2021-03-30,11091543.2743397,IS
2021-03-31,11091543.2743397,IS
2021-04-01,11091543.2743397,IS
2021-04-05,11091543.2743397,IS
2021-04-06,11091543.2743397,IS
2021-04-07,11091543.2743397,IS
2021-04-08,11091543.2743397,IS
2021-04-09,11091543.2743397,IS
2021-04-12,11065519.260290282,IS
2021-04-13,11131010.861852782,IS
2021-04-14,11163758.908727782,IS
2021-04-15,11229251.633337157,IS
2021-04-16,11229251.633337157,IS
2021-04-19,11163758.908727782,IS
2021-04-20,11098265.061071532,IS
2021-04-21,10967280.734899657,IS
2021-04-22,11131010.861852782,IS
2021-04-23,11065519.260290282,IS
2021-04-26,10869041.086462157,IS
2021-04-27,10574322.141149657,IS
2021-04-28,10508832.785680907,IS
2021-04-29,10705308.713415282,IS
2021-04-30,10705308.713415282,IS
2021-05-03,10607070.188024657,IS
2021-05-04,10738056.760290282,IS
2021-05-05,10705308.713415282,IS
2021-05-06,10672562.912634032,IS
2021-05-07,10672562.912634032,IS
2021-05-10,10607070.188024657,IS
2021-05-11,10639815.988805907,IS
2021-05-17,10672562.912634032,IS
2021-05-18,10639815.988805907,IS
2021-05-19,10574322.141149657,IS
2021-05-20,11028682.211227348,IS
2021-05-21,11028682.211227348,IS
2021-05-24,11028682.211227348,IS
2021-05-25,11028682.211227348,IS
2021-05-27,11028682.211227348,IS
2021-05-28,11028682.211227348,IS
2021-05-31,11028682.211227348,IS
2021-06-02,11028682.211227348,IS
2021-06-03,11028682.211227348,IS
2021-06-04,11028682.211227348,IS
2021-06-07,11028682.211227348,IS
2021-06-08,11028682.211227348,IS
2021-06-09,11028682.211227348,IS
2021-06-10,11028682.211227348,IS
2021-06-11,11028682.211227348,IS
2021-06-14,11028682.211227348,IS
2021-06-15,11028682.211227348,IS
2021-06-16,11028682.211227348,IS
2021-06-17,11028682.211227348,IS
2021-06-18,11028682.211227348,IS
2021-06-21,11028682.211227348,IS
2021-06-22,11028682.211227348,IS
2021-06-23,11028682.211227348,IS
2021-06-24,11028682.211227348,IS
2021-06-25,11028682.211227348,IS
2021-06-28,11002502.1927553,IS
2021-06-29,10968103.26697405,IS
2021-06-30,10933705.464239676,IS
2021-07-01,10796115.37634905,IS
2021-07-02,10658525.288458426,IS
2021-07-05,10555333.003302176,IS
2021-07-06,10452139.59509905,IS
2021-07-07,10520936.323614676,IS
2021-07-08,10452139.59509905,IS
2021-07-09,10968103.26697405,IS
2021-07-12,10864910.9818178,IS
2021-07-13,10658525.288458426,IS
2021-07-14,10624127.48572405,IS
2021-07-15,10864910.9818178,IS
2021-07-16,10965444.319089387,IS
2021-07-19,10965444.319089387,IS
2021-07-21,10965444.319089387,IS
2021-07-22,10965444.319089387,IS
2021-07-23,10965444.319089387,IS
2021-07-26,10965444.319089387,IS
2021-07-27,10965444.319089387,IS
2021-07-28,10965444.319089387,IS
2021-07-29,10965444.319089387,IS
2021-07-30,10965444.319089387,IS
2021-08-02,10965444.319089387,IS
2021-08-03,10965444.319089387,IS
2021-08-04,10965444.319089387,IS
2021-08-05,10965444.319089387,IS
2021-08-06,10965444.319089387,IS
2021-08-09,10965444.319089387,IS
2021-08-10,10965444.319089387,IS
2021-08-12,10965444.319089387,IS
2021-08-13,10965444.319089387,IS
2021-08-16,10965444.319089387,IS
2021-08-18,10965444.319089387,IS
2021-08-19,10965444.319089387,IS
2021-08-20,10965444.319089387,IS
2021-08-23,10965444.319089387,IS
2021-08-24,10965444.319089387,IS
2021-08-25,10965444.319089387,IS
2021-08-26,10965444.319089387,IS
2021-08-27,10965444.319089387,IS
2021-08-30,10965444.319089387,IS
2021-08-31,10965444.319089387,IS
2021-09-01,10965444.319089387,IS
2021-09-02,10965444.319089387,IS
2021-09-03,10965444.319089387,IS
2021-09-06,10965444.319089387,IS
2021-09-07,10965444.319089387,IS
2021-09-08,10965444.319089387,IS
2021-09-09,10965444.319089387,IS
2021-09-10,10965444.319089387,IS
2021-09-13,10965444.319089387,IS
2021-09-14,10965444.319089387,IS
2021-09-15,10965444.319089387,IS
2021-09-16,10965444.319089387,IS
2021-09-17,10965444.319089387,IS
2021-09-20,10965444.319089387,IS
2021-09-21,10965444.319089387,IS
2021-09-22,10965444.319089387,IS
2021-09-23,10965444.319089387,IS
2021-09-24,10965444.319089387,IS
2021-09-27,10965444.319089387,IS
2021-09-28,10965444.319089387,IS
2021-09-29,10965444.319089387,IS
2021-09-30,10965444.319089387,IS
2021-10-01,10965444.319089387,IS
2021-10-04,10965444.319089387,IS
2021-10-05,10965444.319089387,IS
2021-10-06,10965444.319089387,IS
2021-10-07,10965444.319089387,IS
2021-10-08,10965444.319089387,IS
2021-10-11,10965444.319089387,IS
2021-10-12,10965444.319089387,IS
2021-10-13,10965444.319089387,IS
2021-10-14,10965444.319089387,IS
2021-10-15,10965444.319089387,IS
2021-10-18,10965444.319089387,IS
2021-10-19,10965444.319089387,IS
2021-10-21,10965444.319089387,IS
2021-10-22,10965444.319089387,IS
2021-10-25,10965444.319089387,IS
2021-10-26,10965444.319089387,IS
2021-10-27,10965444.319089387,IS
2021-10-28,10965444.319089387,IS
2021-10-29,10965444.319089387,IS
2021-11-01,10965444.319089387,IS
2021-11-02,10939817.275862077,IS
2021-11-03,11114796.450666765,IS
2021-11-04,11260611.318830827,IS
2021-11-05,11260611.318830827,IS
2021-11-08,11202285.56199489,IS
2021-11-09,11085633.096174577,IS
2021-11-10,11056469.74168239,IS
2021-11-11,10910652.969221452,IS
2021-11-12,10764837.148908952,IS
2021-11-15,10764837.148908952,IS
2021-11-16,10968980.630354265,IS
2021-11-17,10852327.212385515,IS
2021-11-18,10852327.212385515,IS
2021-11-19,11601079.188278109,IS
2021-11-22,11601079.188278109,IS
2021-11-23,11601079.188278109,IS
2021-11-24,11601079.188278109,IS
2021-11-25,11601079.188278109,IS
2021-11-26,11601079.188278109,IS
2021-11-29,11601079.188278109,IS
2021-11-30,11601079.188278109,IS
2021-12-01,11601079.188278109,IS
2021-12-02,11601079.188278109,IS
2021-12-03,11601079.188278109,IS
2021-12-06,11601079.188278109,IS
2021-12-07,11601079.188278109,IS
2021-12-08,11601079.188278109,IS
2021-12-09,11601079.188278109,IS
2021-12-10,11601079.188278109,IS
2021-12-13,11601079.188278109,IS
2021-12-14,11601079.188278109,IS
2021-12-15,11601079.188278109,IS
2021-12-16,11601079.188278109,IS
2021-12-17,11601079.188278109,IS
2021-12-20,11601079.188278109,IS
2021-12-21,11601079.188278109,IS
2021-12-22,11601079.188278109,IS
2021-12-23,11601079.188278109,IS
2021-12-24,11601079.188278109,IS
2021-12-27,11601079.188278109,IS
2021-12-28,11601079.188278109,IS
2021-12-29,11601079.188278109,IS
2021-12-30,11601079.188278109,IS
2022-01-03,11601079.188278109,IS
2022-01-04,11601079.188278109,IS
2022-01-05,11601079.188278109,IS
2022-01-06,11601079.188278109,IS
2022-01-07,11601079.188278109,IS
2022-01-10,11601079.188278109,IS
2022-01-11,11601079.188278109,IS
2022-01-12,11601079.188278109,IS
2022-01-13,11601079.188278109,IS
2022-01-14,11601079.188278109,IS
2022-01-17,11601079.188278109,IS
2022-01-18,11601079.188278109,IS
2022-01-19,11601079.188278109,IS
2022-01-20,11601079.188278109,IS
2022-01-21,11601079.188278109,IS
2022-01-24,11601079.188278109,IS
2022-01-25,11601079.188278109,IS
2022-01-26,11601079.188278109,IS
2022-01-27,11601079.188278109,IS
2022-01-28,11601079.188278109,IS
2022-01-31,11601079.188278109,IS
2022-02-02,11601079.188278109,IS
2022-02-03,11601079.188278109,IS
2022-02-04,11601079.188278109,IS
2022-02-07,11601079.188278109,IS
2022-02-08,11601079.188278109,IS
2022-02-09,11601079.188278109,IS
2022-02-10,11601079.188278109,IS
2022-02-11,11601079.188278109,IS
2022-02-14,11601079.188278109,IS
2022-02-15,11601079.188278109,IS
2022-02-16,11601079.188278109,IS
2022-02-17,11601079.188278109,IS
2022-02-18,11601079.188278109,IS
2022-02-21,11601079.188278109,IS
2022-02-22,11601079.188278109,IS
2022-02-23,11601079.188278109,IS
2022-02-24,11601079.188278109,IS
2022-02-25,11601079.188278109,IS
2022-03-01,11601079.188278109,IS
2022-03-02,11601079.188278109,IS
2022-03-04,11601079.188278109,IS
2022-03-07,11601079.188278109,IS
2022-03-08,11601079.188278109,IS
2022-03-09,11601079.188278109,IS
2022-03-10,11601079.188278109,IS
2022-03-11,11601079.188278109,IS
2022-03-14,11601079.188278109,IS
2022-03-15,11601079.188278109,IS
2022-03-16,11601079.188278109,IS
2022-03-17,11601079.188278109,IS
2022-03-18,11601079.188278109,IS
2022-03-21,11601079.188278109,IS
2022-03-22,11601079.188278109,IS
2022-03-23,11601079.188278109,IS
2022-03-24,11601079.188278109,IS
2022-03-25,11601079.188278109,IS
2022-03-28,11601079.188278109,IS
2022-03-29,11601079.188278109,IS
2022-03-30,11601079.188278109,IS
2022-03-31,11601079.188278109,IS
2022-04-01,11601079.188278109,IS
2022-04-04,11601079.188278109,IS
2022-04-05,11601079.188278109,IS
2022-04-06,11574037.394759245,IS
2022-04-07,11853703.16624362,IS
2022-04-08,11915827.21632697,IS
2022-04-11,11915827.21632697,IS
2022-04-12,11915827.21632697,IS
2022-04-13,11915827.21632697,IS
2022-04-14,11915827.21632697,IS
2022-04-18,11915827.21632697,IS
2022-04-19,11915827.21632697,IS
2022-04-20,11915827.21632697,IS
2022-04-21,11915827.21632697,IS
2022-04-22,11915827.21632697,IS
2022-04-25,11915827.21632697,IS
2022-04-26,11915827.21632697,IS
2022-04-27,11915827.21632697,IS
2022-04-28,11915827.21632697,IS
2022-05-09,11887970.328302005,IS
2022-05-10,11968730.386895755,IS
2022-05-11,11941809.488458255,IS
2022-05-12,11861050.308770755,IS
2022-05-13,11753371.109552005,IS
2022-05-17,11538011.832208255,IS
2022-05-18,11726451.968927005,IS
2022-05-19,11618771.890802005,IS
2022-05-20,11511092.691583255,IS
2022-05-23,11349573.453302005,IS
2022-05-24,11457253.531427005,IS
2022-05-25,11591852.750177005,IS
2022-05-27,11861050.308770755,IS
2022-05-30,11726451.968927005,IS
2022-05-31,11887970.328302005,IS
2022-06-02,11834130.289239505,IS
2022-06-03,11887970.328302005,IS
2022-06-06,11929024.433596391,IS
2022-06-07,11929024.433596391,IS
2022-06-08,11929024.433596391,IS
2022-06-09,11929024.433596391,IS
2022-06-10,11929024.433596391,IS
2022-06-13,11929024.433596391,IS
