Date,Equity,BuyHold,phase
2021-01-29,9976079.986677324,10000000.0,IS
2021-02-01,10360491.607771074,10385849.735622907,IS
2021-02-02,10488629.5472242,10514467.0493258,IS
2021-02-03,10392527.740583574,10418005.71816296,IS
2021-02-04,10552699.615583574,10578776.808920132,IS
2021-02-05,10552699.615583574,10578776.808920132,IS
2021-02-08,10520665.6800367,10546623.031865852,IS
2021-02-09,10264389.80113045,10289388.404460065,IS
2021-02-10,10232354.766950762,10257233.524662899,IS
2021-02-11,10232354.766950762,10257233.524662899,IS
2021-02-15,10328458.770857012,10353697.061311511,IS
2021-02-16,10296422.638044512,10321541.07877146,IS
2021-02-17,10104216.827497637,10128616.210960006,IS
2021-02-18,10200320.831403887,10225079.747608619,IS
2021-02-19,10296422.638044512,10321541.07877146,IS
2021-02-22,10168284.698591387,10192923.765068568,IS
2021-02-23,11091543.261596654,11157555.823326033,IS
2021-02-24,11091543.261596654,11189709.600380313,IS
2021-02-25,11091543.261596654,11221864.480177479,IS
2021-02-26,11091543.261596654,11221864.480177479,IS
2021-03-01,11091543.261596654,11221864.480177479,IS
2021-03-02,11091543.261596654,11125399.84078598,IS
2021-03-03,11091543.261596654,11061092.28667742,IS
2021-03-04,11091543.261596654,10803856.55652875,IS
2021-03-05,11091543.261596654,10675240.345568744,IS
2021-03-08,11091543.261596654,10739549.00242019,IS
2021-03-09,11091543.261596654,10578776.808920132,IS
2021-03-10,11091543.261596654,10932474.972974528,IS
2021-03-12,11091543.261596654,11093246.0637317,IS
2021-03-15,11091543.261596654,10868166.316123083,IS
2021-03-16,11091543.261596654,10803856.55652875,IS
2021-03-17,11091543.261596654,10900320.093177363,IS
2021-03-18,11091543.261596654,11093246.0637317,IS
2021-03-19,11091543.261596654,11061092.28667742,IS
2021-03-22,11091543.261596654,10868166.316123083,IS
2021-03-23,11091543.261596654,10803856.55652875,IS
2021-03-24,11091543.261596654,10836011.436325917,IS
2021-03-25,11091543.261596654,10964629.852771694,IS
2021-03-26,11091543.261596654,11221864.480177479,IS
2021-03-29,11091543.261596654,10964629.852771694,IS
2021-03-30,11091543.261596654,10868166.316123083,IS
2021-03-31,11091543.261596654,10996782.52708309,IS
2021-04-01,11091543.261596654,10900320.093177363,IS
2021-04-05,11091543.261596654,10868166.316123083,IS
2021-04-06,11091543.261596654,10836011.436325917,IS
2021-04-07,11091543.261596654,10932474.972974528,IS
2021-04-08,11091543.261596654,10900320.093177363,IS
2021-04-09,11091543.261596654,10803856.55652875,IS
2021-04-12,11065519.247547235,10643085.465771578,IS
2021-04-13,11131013.095203485,10707395.22536591,IS
2021-04-14,11163758.895984735,10739549.00242019,IS
2021-04-15,11229250.497547235,10803856.55652875,IS
2021-04-16,11229250.497547235,10803856.55652875,IS
2021-04-19,11163758.895984735,10739549.00242019,IS
2021-04-20,11098266.17137536,10675240.345568744,IS
2021-04-21,10967280.72215661,10546623.031865852,IS
2021-04-22,11131013.095203485,10707395.22536591,IS
2021-04-23,11065519.247547235,10643085.465771578,IS
2021-04-26,10869042.196765985,10450160.597960124,IS
2021-04-27,10574323.251453485,10160769.988014286,IS
2021-04-28,10508831.649890985,10096462.433905726,IS
2021-04-29,10705309.82371911,10289388.404460065,IS
2021-04-30,10705309.82371911,10289388.404460065,IS
2021-05-03,10607069.052234735,10192923.765068568,IS
2021-05-04,10738054.501453485,10321541.07877146,IS
2021-05-05,10705309.82371911,10289388.404460065,IS
2021-05-06,10672562.899890985,10257233.524662899,IS
2021-05-07,10672562.899890985,10257233.524662899,IS
2021-05-10,10607069.052234735,10192923.765068568,IS
2021-05-11,10639817.099109735,10225079.747608619,IS
2021-05-17,10672562.899890985,10257233.524662899,IS
