Date,Equity,BuyHold,phase
2021-02-09,10000000.0,10000000.0,IS
2021-02-10,10000000.0,10128754.601610174,IS
2021-02-11,10000000.0,10042916.734372055,IS
2021-02-15,10000000.0,10214590.583779436,IS
2021-02-16,10000000.0,10171672.592694804,IS
2021-02-17,10000000.0,9957079.495490225,IS
2021-02-18,10000000.0,9828325.522236336,IS
2021-02-19,10000000.0,9914164.01783074,IS
2021-02-22,10000000.0,9785406.274439132,IS
2021-02-23,10000000.0,9828325.522236336,IS
2021-02-24,10000000.0,9656651.04447267,IS
2021-02-25,10000000.0,9570815.690659698,IS
2021-02-26,10000000.0,9270385.354573283,IS
2021-03-01,10000000.0,9613732.425031753,IS
2021-03-02,10000000.0,9570815.690659698,IS
2021-03-03,10000000.0,9742488.91171079,IS
2021-03-04,10000000.0,9570815.690659698,IS
2021-03-05,10000000.0,9442059.83233695,IS
2021-03-08,10000000.0,9527895.814506209,IS
2021-03-09,10000000.0,9484977.195065292,IS
2021-03-10,10000000.0,9313302.717301628,IS
2021-03-12,10000000.0,9399141.212896032,IS
2021-03-15,10000000.0,9484977.195065292,IS
2021-03-16,10000000.0,9527895.814506209,IS
2021-03-17,10000000.0,9570815.690659698,IS
2021-03-18,10000000.0,9828325.522236336,IS
2021-03-19,10000000.0,9914164.01783074,IS
2021-03-22,10000000.0,9570815.690659698,IS
2021-03-23,10000000.0,9570815.690659698,IS
2021-03-24,10000000.0,9356222.593455117,IS
2021-03-25,10000000.0,9356222.593455117,IS
2021-03-26,10000000.0,9613732.425031753,IS
2021-03-29,10000000.0,9484977.195065292,IS
2021-03-30,10000000.0,9270385.354573283,IS
2021-03-31,10000000.0,9055791.629012417,IS
2021-04-01,10000000.0,9184549.372404026,IS
2021-04-05,10000000.0,9184549.372404026,IS
2021-04-06,10000000.0,9184549.372404026,IS
2021-04-07,10000000.0,9141630.752963107,IS
2021-04-08,10000000.0,9098710.87680962,IS
2021-04-09,10000000.0,9055791.629012417,IS
2021-04-12,9976430.23457867,8712445.186910233,IS
2021-04-13,9976430.23457867,8712445.186910233,IS
2021-04-14,10314942.92989117,9012874.89464036,IS
2021-04-15,10314942.92989117,9012874.89464036,IS
2021-04-16,10314942.92989117,9012874.89464036,IS
2021-04-19,10218224.814656794,8927037.655758528,IS
2021-04-20,10411659.62910992,9098710.87680962,IS
2021-04-21,10266582.456258357,8969955.01848687,IS
2021-04-22,10665985.667164896,9356222.593455117,IS
2021-04-23,10665985.667164896,9656651.04447267,IS
2021-04-26,10665985.667164896,9656651.04447267,IS
2021-04-27,10665985.667164896,9484977.195065292,IS
2021-04-28,10665985.667164896,9184549.372404026,IS
2021-04-29,10665985.667164896,9313302.717301628,IS
2021-04-30,10665985.667164896,9442059.83233695,IS
2021-05-03,10665985.667164896,9462990.380242266,IS
2021-05-04,10665985.667164896,9593816.044172945,IS
2021-05-05,10665985.667164896,9637423.34210393,IS
2021-05-06,10665985.667164896,9462990.380242266,IS
2021-05-07,10665985.667164896,9288556.790024316,IS
2021-05-10,10665985.667164896,9375775.784380294,IS
2021-05-11,10665985.667164896,9114124.456518939,IS
2021-05-17,10665985.667164896,9026908.603944393,IS
2021-05-18,10665985.667164896,8983300.049300835,IS
2021-05-19,10665985.667164896,8808867.715795457,IS
2021-05-20,10665985.667164896,9026908.603944393,IS
2021-05-21,10665985.667164896,8808867.715795457,IS
2021-05-24,10665985.667164896,8896083.568370003,IS
2021-05-25,10665985.667164896,8852476.270439016,IS
2021-05-27,10665985.667164896,8983300.049300835,IS
2021-05-28,10665985.667164896,8983300.049300835,IS
2021-05-31,10665985.667164896,9157734.267875072,IS
2021-06-02,10665985.667164896,9288556.790024316,IS
2021-06-03,10665985.667164896,9332167.229736736,IS
2021-06-04,10665985.667164896,9114124.456518939,IS
2021-06-07,10665985.667164896,9157734.267875072,IS
2021-06-08,10665985.667164896,9201340.937449772,IS
2021-06-09,10665985.667164896,9288556.790024316,IS
2021-06-10,10665985.667164896,9419381.825598707,IS
2021-06-11,10665985.667164896,9201340.937449772,IS
2021-06-14,10665985.667164896,9026908.603944393,IS
2021-06-15,10665985.667164896,8983300.049300835,IS
2021-06-16,10665985.667164896,8983300.049300835,IS
2021-06-17,10665985.667164896,8896083.568370003,IS
2021-06-18,10665985.667164896,8721651.234864624,IS
2021-06-21,10665985.667164896,8582104.614032779,IS
2021-06-22,10665985.667164896,8582104.614032779,IS
2021-06-23,10665985.667164896,8599547.156191401,IS
2021-06-24,10665985.667164896,8616990.955062598,IS
2021-06-25,10665985.667164896,8582104.614032779,IS
2021-06-28,10665985.667164896,8215795.519794542,IS
2021-06-29,10665985.667164896,8442557.364844648,IS
2021-06-30,10665985.667164896,8616990.955062598,IS
2021-07-01,10665985.667164896,8765259.161151899,IS
2021-07-02,10665985.667164896,8721651.234864624,IS
2021-07-05,10665985.667164896,8616990.955062598,IS
2021-07-06,10665985.667164896,8547218.901359249,IS
2021-07-07,10665985.667164896,8547218.901359249,IS
2021-07-08,10665985.667164896,8512330.046904283,IS
2021-07-09,10665985.667164896,8564660.815161584,IS
2021-07-12,10665985.667164896,8582104.614032779,IS
2021-07-13,10665985.667164896,8547218.901359249,IS
2021-07-14,10665985.667164896,8250681.8608243605,IS
2021-07-15,10665985.667164896,8390228.481656207,IS
2021-07-16,10665985.667164896,8512330.046904283,IS
2021-07-19,10665985.667164896,8337899.598467766,IS
2021-07-21,10665985.667164896,8494887.50474566,IS
2021-07-22,10665985.667164896,8686764.26547852,IS
2021-07-23,10665985.667164896,8634434.125577508,IS
2021-07-26,10665985.667164896,8320454.542883997,IS
2021-07-27,10665985.667164896,8303010.744012801,IS
2021-07-28,10665985.667164896,8215795.519794542,IS
