Date,Equity,BuyHold,phase
2021-02-09,10000000.0,10000000.0,IS
2021-02-10,10000000.0,10000000.0,IS
2021-02-11,10000000.0,10000000.0,IS
2021-02-15,10000000.0,10000000.0,IS
2021-02-16,10000000.0,9961537.007345064,IS
2021-02-17,10000000.0,9769229.737768011,IS
2021-02-18,10000000.0,9615384.361746231,IS
2021-02-19,10000000.0,9807691.631323285,IS
2021-02-22,10000000.0,9807691.631323285,IS
2021-02-23,10000000.0,9730767.844212735,IS
2021-02-24,10000000.0,9807691.631323285,IS
2021-02-25,10000000.0,9653846.255301507,IS
2021-02-26,10000000.0,9461537.886624793,IS
2021-03-01,10000000.0,10115383.482466502,IS
2021-03-02,10000000.0,10153844.276922118,IS
2021-03-03,10000000.0,10153844.276922118,IS
2021-03-04,10000000.0,10076921.588911228,IS
2021-03-05,10000000.0,9961537.007345064,IS
2021-03-08,10000000.0,9884614.319334174,IS
2021-03-09,10000000.0,9884614.319334174,IS
2021-03-10,10000000.0,10000000.0,IS
2021-03-12,10000000.0,10346153.744698493,IS
2021-03-15,10000000.0,10230769.163132329,IS
2021-03-16,10000000.0,10076921.588911228,IS
2021-03-17,10000000.0,10038461.893555274,IS
2021-03-18,10000000.0,10461538.326264657,IS
2021-03-19,10000000.0,10423077.531809043,IS
2021-03-22,10000000.0,10192307.269577052,IS
2021-03-23,10000000.0,10269228.858488282,IS
2021-03-24,10000000.0,10221933.50095336,IS
2021-03-25,10000000.0,10182159.282402229,IS
2021-03-26,10000000.0,10221933.50095336,IS
2021-03-29,10000000.0,10142385.063851096,IS
2021-03-30,10000000.0,10062837.725848494,IS
2021-03-31,9976518.076816266,9784419.295090234,IS
2021-04-01,10056032.725253766,9863967.732192498,IS
2021-04-05,10095787.852206891,9903739.752544306,IS
2021-04-06,10175303.599277204,9983289.28874623,IS
2021-04-07,10254818.247714704,10062837.725848494,IS
2021-04-08,10175303.599277204,9983289.28874623,IS
2021-04-09,10458365.863699539,10301481.938055623,IS
2021-04-12,10458365.863699539,10023063.507297363,IS
2021-04-13,10458365.863699539,10023063.507297363,IS
2021-04-14,10458365.863699539,10062837.725848494,IS
2021-04-15,10458365.863699539,10023063.507297363,IS
2021-04-16,10458365.863699539,10023063.507297363,IS
2021-04-19,10458365.863699539,9903739.752544306,IS
2021-04-20,10458365.863699539,9863967.732192498,IS
2021-04-21,10458365.863699539,9744645.076539103,IS
2021-04-22,10458365.863699539,9744645.076539103,IS
2021-04-23,10458365.863699539,9784419.295090234,IS
2021-04-26,10433524.237454375,9506000.864331974,IS
2021-04-27,10563396.966946563,9625322.420885706,IS
2021-04-28,10823144.818509063,9863967.732192498,IS
2021-04-29,10866433.734524688,9903739.752544306,IS
2021-04-30,10779852.31362625,9824192.414541705,IS
2021-05-03,10563396.966946563,9625322.420885706,IS
2021-05-04,10649979.584134063,9704870.85798797,IS
2021-05-05,10563396.966946563,9625322.420885706,IS
2021-05-06,10606688.275540313,9665096.63943684,IS
2021-05-07,10390231.732571563,9466225.54668118,IS
2021-05-10,10433524.237454375,9506000.864331974,IS
2021-05-11,10312247.016428923,9386678.208678579,IS
2021-05-17,10312247.016428923,9426452.42722971,IS
2021-05-18,10312247.016428923,9386678.208678579,IS
2021-05-19,10287689.633003587,9028712.439917717,IS
2021-05-20,10242629.464546556,8988936.572717093,IS
2021-05-21,10558036.947456712,9267355.553025184,IS
2021-05-24,10422863.912788743,9148034.54602128,IS
2021-05-25,10693211.849800462,9386678.208678579,IS
2021-05-27,10422863.912788743,9148034.54602128,IS
2021-05-28,10512979.89179265,9227582.433573714,IS
2021-05-31,10836692.062765202,9545773.983783444,IS
