Date,Equity,phase
2021-10-26,10000000.0,IS
2021-10-27,10000000.0,IS
2021-10-28,10000000.0,IS
2021-10-29,10000000.0,IS
2021-11-01,10000000.0,IS
2021-11-02,10000000.0,IS
2021-11-03,10000000.0,IS
2021-11-04,10000000.0,IS
2021-11-05,10000000.0,IS
2021-11-08,10000000.0,IS
2021-11-09,10000000.0,IS
2021-11-10,10000000.0,IS
2021-11-11,10000000.0,IS
2021-11-12,10000000.0,IS
2021-11-15,10000000.0,IS
2021-11-16,10000000.0,IS
2021-11-17,10000000.0,IS
2021-11-18,10000000.0,IS
2021-11-19,10000000.0,IS
2021-11-22,10000000.0,IS
2021-11-23,10000000.0,IS
2021-11-24,10000000.0,IS
2021-11-25,10000000.0,IS
2021-11-26,9976775.230343273,IS
2021-11-29,10099740.074093273,IS
2021-11-30,9771835.386593273,IS
2021-12-01,9566895.542843273,IS
2021-12-02,9862204.114004513,IS
2021-12-03,9862204.114004513,IS
2021-12-06,9862204.114004513,IS
2021-12-07,9862204.114004513,IS
2021-12-08,9862204.114004513,IS
2021-12-09,9862204.114004513,IS
2021-12-10,9862204.114004513,IS
2021-12-13,9862204.114004513,IS
2021-12-14,9862204.114004513,IS
2021-12-15,9862204.114004513,IS
2021-12-16,9862204.114004513,IS
2021-12-17,9862204.114004513,IS
2021-12-20,9862204.114004513,IS
2021-12-21,9862204.114004513,IS
2021-12-22,9862204.114004513,IS
2021-12-23,9862204.114004513,IS
2021-12-24,9862204.114004513,IS
2021-12-27,9862204.114004513,IS
2021-12-28,9862204.114004513,IS
2021-12-29,9862204.114004513,IS
2021-12-30,9862204.114004513,IS
2022-01-03,9862204.114004513,IS
2022-01-04,9862204.114004513,IS
2022-01-05,9862204.114004513,IS
2022-01-06,9862204.114004513,IS
2022-01-07,9862204.114004513,IS
2022-01-10,9862204.114004513,IS
2022-01-11,9862204.114004513,IS
2022-01-12,9862204.114004513,IS
2022-01-13,9862204.114004513,IS
2022-01-14,9862204.114004513,IS
2022-01-17,9862204.114004513,IS
2022-01-18,9862204.114004513,IS
2022-01-19,9862204.114004513,IS
2022-01-20,9838643.11193345,IS
2022-01-21,9938050.383232508,IS
2022-01-24,9938050.383232508,IS
2022-01-25,9938050.383232508,IS
2022-01-26,9938050.383232508,IS
2022-01-27,9938050.383232508,IS
2022-01-28,9938050.383232508,IS
2022-01-31,9938050.383232508,IS
2022-02-02,9938050.383232508,IS
2022-02-03,9938050.383232508,IS
2022-02-04,9938050.383232508,IS
2022-02-07,9938050.383232508,IS
2022-02-08,9938050.383232508,IS
2022-02-09,9938050.383232508,IS
2022-02-10,9938050.383232508,IS
2022-02-11,9938050.383232508,IS
2022-02-14,9938050.383232508,IS
2022-02-15,9938050.383232508,IS
2022-02-16,9938050.383232508,IS
2022-02-17,9938050.383232508,IS
2022-02-18,9938050.383232508,IS
2022-02-21,9938050.383232508,IS
2022-02-22,9938050.383232508,IS
2022-02-23,9938050.383232508,IS
2022-02-24,9938050.383232508,IS
2022-02-25,9938050.383232508,IS
2022-03-01,9938050.383232508,IS
2022-03-02,9938050.383232508,IS
2022-03-04,9938050.383232508,IS
2022-03-07,9938050.383232508,IS
2022-03-08,9938050.383232508,IS
2022-03-09,9938050.383232508,IS
2022-03-10,9938050.383232508,IS
2022-03-11,9938050.383232508,IS
2022-03-14,9938050.383232508,IS
2022-03-15,9938050.383232508,IS
2022-03-16,9938050.383232508,IS
2022-03-17,9938050.383232508,IS
2022-03-18,9938050.383232508,IS
2022-03-21,9938050.383232508,IS
2022-03-22,9938050.383232508,IS
2022-03-23,9938050.383232508,IS
2022-03-24,9938050.383232508,IS
2022-03-25,9938050.383232508,IS
2022-03-28,9938050.383232508,IS
2022-03-29,9938050.383232508,IS
2022-03-30,9938050.383232508,IS
2022-03-31,9938050.383232508,IS
2022-04-01,9938050.383232508,IS
2022-04-04,9938050.383232508,IS
2022-04-05,9938050.383232508,IS
2022-04-06,9938050.383232508,IS
2022-04-07,9938050.383232508,IS
2022-04-08,9938050.383232508,IS
2022-04-11,9938050.383232508,IS
2022-04-12,9938050.383232508,IS
2022-04-13,9938050.383232508,IS
2022-04-14,9938050.383232508,IS
2022-04-18,9938050.383232508,IS
2022-04-19,9938050.383232508,IS
2022-04-20,9938050.383232508,IS
2022-04-21,9938050.383232508,IS
2022-04-22,9938050.383232508,IS
2022-04-25,9938050.383232508,IS
2022-04-26,9938050.383232508,IS
2022-04-27,9938050.383232508,IS
2022-04-28,9938050.383232508,IS
2022-05-09,9938050.383232508,IS
2022-05-10,9938050.383232508,IS
2022-05-11,9938050.383232508,IS
2022-05-12,9938050.383232508,IS
2022-05-13,9938050.383232508,IS
2022-05-17,9938050.383232508,IS
2022-05-18,9938050.383232508,IS
2022-05-19,9938050.383232508,IS
2022-05-20,9938050.383232508,IS
2022-05-23,9938050.383232508,IS
2022-05-24,9938050.383232508,IS
2022-05-25,9938050.383232508,IS
2022-05-27,9938050.383232508,IS
2022-05-30,9938050.383232508,IS
2022-05-31,9938050.383232508,IS
2022-06-02,9938050.383232508,IS
2022-06-03,9938050.383232508,IS
2022-06-06,9938050.383232508,IS
2022-06-07,9938050.383232508,IS
2022-06-08,9938050.383232508,IS
2022-06-09,9938050.383232508,IS
2022-06-10,9914736.996949745,IS
2022-06-13,10054952.817262245,IS
2022-06-14,9984845.395387245,IS
2022-06-15,9599247.739137245,IS
2022-06-16,9809573.911012245,IS
2022-06-17,9916670.453350477,IS
2022-06-20,9916670.453350477,IS
2022-06-21,9916670.453350477,IS
2022-06-22,9916670.453350477,IS
2022-06-23,9916670.453350477,IS
2022-06-24,9916670.453350477,IS
2022-06-27,9916670.453350477,IS
2022-06-28,9916670.453350477,IS
2022-06-29,9916670.453350477,IS
2022-06-30,9916670.453350477,IS
2022-07-01,9916670.453350477,IS
2022-07-04,9916670.453350477,IS
2022-07-05,9916670.453350477,IS
2022-07-06,9893150.866142875,IS
2022-07-07,9691588.659111625,IS
2022-07-08,9731900.42668975,IS
2022-07-11,9819682.953526305,IS
2022-07-12,9819682.953526305,IS
2022-07-13,9819682.953526305,IS
2022-07-14,9819682.953526305,IS
2022-07-15,9819682.953526305,IS
2022-07-18,9819682.953526305,IS
2022-07-19,9819682.953526305,IS
2022-07-20,9819682.953526305,IS
2022-07-21,9819682.953526305,IS
2022-07-22,9819682.953526305,IS
2022-07-25,9819682.953526305,IS
2022-07-26,9819682.953526305,IS
2022-07-27,9819682.953526305,IS
2022-07-28,9819682.953526305,IS
2022-07-29,9819682.953526305,IS
2022-08-01,9819682.953526305,IS
2022-08-02,9819682.953526305,IS
2022-08-03,9819682.953526305,IS
2022-08-04,9819682.953526305,IS
2022-08-05,9819682.953526305,IS
2022-08-08,9819682.953526305,IS
2022-08-09,9819682.953526305,IS
2022-08-10,9819682.953526305,IS
2022-08-11,9819682.953526305,IS
2022-08-12,9819682.953526305,IS
2022-08-15,9819682.953526305,IS
2022-08-16,9819682.953526305,IS
2022-08-18,9819682.953526305,IS
2022-08-19,9819682.953526305,IS
2022-08-22,9819682.953526305,IS
2022-08-23,9819682.953526305,IS
2022-08-24,9819682.953526305,IS
2022-08-25,9819682.953526305,IS
2022-08-26,9819682.953526305,IS
2022-08-29,9819682.953526305,IS
2022-08-30,9819682.953526305,IS
2022-08-31,9819682.953526305,IS
2022-09-01,9819682.953526305,IS
2022-09-02,9819682.953526305,IS
2022-09-05,9819682.953526305,IS
2022-09-06,9819682.953526305,IS
2022-09-07,9819682.953526305,IS
2022-09-08,9819682.953526305,IS
2022-09-09,9819682.953526305,IS
2022-09-12,9819682.953526305,IS
2022-09-13,9819682.953526305,IS
2022-09-14,9819682.953526305,IS
2022-09-15,9819682.953526305,IS
2022-09-16,9819682.953526305,IS
2022-09-19,9819682.953526305,IS
2022-09-20,9819682.953526305,IS
2022-09-21,9819682.953526305,IS
2022-09-22,9819682.953526305,IS
2022-09-23,9819682.953526305,IS
2022-09-26,9819682.953526305,IS
2022-09-27,9819682.953526305,IS
2022-09-28,9796790.390003307,IS
2022-09-29,9761738.632190807,IS
2022-09-30,9551411.483753307,IS
2022-10-03,9551411.483753307,IS
2022-10-04,9659581.205352282,IS
2022-10-05,9659581.205352282,IS
2022-10-06,9659581.205352282,IS
2022-10-07,9659581.205352282,IS
2022-10-10,9659581.205352282,IS
2022-10-11,9659581.205352282,IS
2022-10-12,9659581.205352282,IS
2022-10-13,9659581.205352282,IS
2022-10-14,9659581.205352282,IS
2022-10-17,9659581.205352282,IS
2022-10-18,9659581.205352282,IS
2022-10-19,9659581.205352282,IS
2022-10-20,9659581.205352282,IS
2022-10-21,9659581.205352282,IS
2022-10-24,9659581.205352282,IS
2022-10-25,9659581.205352282,IS
2022-10-26,9659581.205352282,IS
2022-10-27,9659581.205352282,IS
2022-10-28,9659581.205352282,IS
2022-10-31,9659581.205352282,IS
2022-11-01,9659581.205352282,IS
2022-11-02,9659581.205352282,IS
2022-11-03,9659581.205352282,IS
2022-11-04,9659581.205352282,IS
2022-11-07,9659581.205352282,IS
2022-11-08,9659581.205352282,IS
2022-11-09,9659581.205352282,IS
2022-11-10,9659581.205352282,IS
2022-11-11,9659581.205352282,IS
2022-11-14,9659581.205352282,IS
2022-11-15,9659581.205352282,IS
2022-11-16,9659581.205352282,IS
2022-11-17,9659581.205352282,IS
2022-11-18,9659581.205352282,IS
