Date,Equity,BuyHold,phase
2021-10-26,10000000.0,10000000.0,IS
2021-10-27,10000000.0,9756100.25393439,IS
2021-10-28,10000000.0,9756100.25393439,IS
2021-10-29,10000000.0,9796750.211611992,IS
2021-11-01,10000000.0,9796750.211611992,IS
2021-11-02,10000000.0,9593497.517663194,IS
2021-11-03,10000000.0,9715448.552920315,IS
2021-11-04,10000000.0,9715448.552920315,IS
2021-11-05,10000000.0,9634148.056452954,IS
2021-11-08,10000000.0,9634148.056452954,IS
2021-11-09,10000000.0,9512196.440083675,IS
2021-11-10,10000000.0,10040652.282126235,IS
2021-11-11,10000000.0,10040652.282126235,IS
2021-11-12,10000000.0,10000000.0,IS
2021-11-15,10000000.0,9959351.204546714,IS
2021-11-16,10000000.0,10040652.282126235,IS
2021-11-17,10000000.0,10162603.317383355,IS
2021-11-18,10000000.0,10081303.402028153,IS
2021-11-19,10000000.0,10121952.197481437,IS
2021-11-22,10000000.0,10081303.402028153,IS
2021-11-23,10000000.0,10162603.317383355,IS
2021-11-24,10000000.0,10121952.197481437,IS
2021-11-25,10000000.0,10121952.197481437,IS
2021-11-26,9976775.230343273,9593497.517663194,IS
2021-11-29,10099738.902218273,9715448.552920315,IS
2021-11-30,9771834.800655773,9390244.823714396,IS
2021-12-01,9566896.128780773,9186993.873102073,IS
2021-12-02,9862202.94611219,9512196.440083675,IS
2021-12-03,9862202.94611219,9349594.284924638,IS
2021-12-06,9862202.94611219,9186993.873102073,IS
2021-12-07,9862202.94611219,9634148.056452954,IS
2021-12-08,9862202.94611219,9430896.524728473,IS
2021-12-09,9862202.94611219,9756100.25393439,IS
2021-12-10,9862202.94611219,9634148.056452954,IS
2021-12-13,9862202.94611219,9593497.517663194,IS
2021-12-14,9862202.94611219,9552847.559985593,IS
2021-12-15,9862202.94611219,9756100.25393439,IS
2021-12-16,9862202.94611219,9430896.524728473,IS
2021-12-17,9862202.94611219,9430896.524728473,IS
2021-12-20,9862202.94611219,9227644.411891833,IS
2021-12-21,9862202.94611219,9186993.873102073,IS
2021-12-22,9862202.94611219,9146342.753200155,IS
2021-12-23,9862202.94611219,9308946.070583511,IS
2021-12-24,9862202.94611219,9227644.411891833,IS
2021-12-27,9862202.94611219,9227644.411891833,IS
2021-12-28,9862202.94611219,9308946.070583511,IS
2021-12-29,9862202.94611219,9349594.284924638,IS
2021-12-30,9862202.94611219,9268292.045120802,IS
2022-01-03,9862202.94611219,9308946.070583511,IS
2022-01-04,9862202.94611219,9390244.823714396,IS
2022-01-05,9862202.94611219,9065041.675620636,IS
2022-01-06,9862202.94611219,9227644.411891833,IS
2022-01-07,9862202.94611219,9268292.045120802,IS
2022-01-10,9862202.94611219,9186993.873102073,IS
2022-01-11,9862202.94611219,9268292.045120802,IS
2022-01-12,9862202.94611219,9308946.070583511,IS
2022-01-13,9862202.94611219,9390244.823714396,IS
2022-01-14,9862202.94611219,9308946.070583511,IS
