Date,Equity,phase
2021-10-26,10000000.0,IS
2021-10-27,10000000.0,IS
2021-10-28,9977241.886746155,IS
2021-10-29,10073117.777958792,IS
2021-11-01,10073117.777958792,IS
2021-11-02,10049089.32545973,IS
2021-11-03,10117636.98170973,IS
2021-11-04,10151910.41920973,IS
2021-11-05,10220021.078994222,IS
2021-11-08,10220021.078994222,IS
2021-11-09,10220021.078994222,IS
2021-11-10,10220021.078994222,IS
2021-11-11,10220021.078994222,IS
2021-11-12,10220021.078994222,IS
2021-11-15,10196877.236944601,IS
2021-11-16,10164747.354132101,IS
2021-11-17,10292744.35866849,IS
2021-11-18,10292744.35866849,IS
2021-11-19,10292744.35866849,IS
2021-11-22,10292744.35866849,IS
2021-11-23,10292744.35866849,IS
2021-11-24,10292744.35866849,IS
2021-11-25,10268222.445293453,IS
2021-11-26,10061890.414043453,IS
2021-11-29,10233833.382793453,IS
2021-11-30,10061890.414043453,IS
2021-12-01,10096279.476543453,IS
2021-12-02,10336325.077310681,IS
2021-12-03,10336325.077310681,IS
2021-12-06,10336325.077310681,IS
2021-12-07,10336325.077310681,IS
2021-12-08,10336325.077310681,IS
2021-12-09,10336325.077310681,IS
2021-12-10,10336325.077310681,IS
2021-12-13,10336325.077310681,IS
2021-12-14,10336325.077310681,IS
2021-12-15,10336325.077310681,IS
2021-12-16,10312298.556826074,IS
2021-12-17,10586733.220093302,IS
2021-12-20,10586733.220093302,IS
2021-12-21,10586733.220093302,IS
2021-12-22,10586733.220093302,IS
2021-12-23,10586733.220093302,IS
2021-12-24,10586733.220093302,IS
2021-12-27,10586733.220093302,IS
2021-12-28,10586733.220093302,IS
2021-12-29,10586733.220093302,IS
2021-12-30,10586733.220093302,IS
2022-01-03,10586733.220093302,IS
2022-01-04,10586733.220093302,IS
2022-01-05,10586733.220093302,IS
2022-01-06,10586733.220093302,IS
2022-01-07,10586733.220093302,IS
2022-01-10,10586733.220093302,IS
2022-01-11,10586733.220093302,IS
2022-01-12,10586733.220093302,IS
2022-01-13,10586733.220093302,IS
2022-01-14,10586733.220093302,IS
2022-01-17,10586733.220093302,IS
2022-01-18,10586733.220093302,IS
2022-01-19,10586733.220093302,IS
2022-01-20,10586733.220093302,IS
2022-01-21,10586733.220093302,IS
2022-01-24,10586733.220093302,IS
2022-01-25,10586733.220093302,IS
2022-01-26,10586733.220093302,IS
2022-01-27,10586733.220093302,IS
2022-01-28,10586733.220093302,IS
2022-01-31,10561550.786615843,IS
2022-02-02,10765807.987778343,IS
2022-02-03,10765807.987778343,IS
2022-02-04,10765807.987778343,IS
2022-02-07,10765807.987778343,IS
2022-02-08,10765807.987778343,IS
2022-02-09,10765807.987778343,IS
2022-02-10,10765807.987778343,IS
2022-02-11,10765807.987778343,IS
2022-02-14,10765807.987778343,IS
2022-02-15,10765807.987778343,IS
2022-02-16,10765807.987778343,IS
2022-02-17,10765807.987778343,IS
2022-02-18,10765807.987778343,IS
2022-02-21,10765807.987778343,IS
2022-02-22,10765807.987778343,IS
2022-02-23,10765807.987778343,IS
2022-02-24,10765807.987778343,IS
2022-02-25,10765807.987778343,IS
2022-03-01,10765807.987778343,IS
2022-03-02,10765807.987778343,IS
2022-03-04,10741347.997225035,IS
2022-03-07,10483432.958162535,IS
2022-03-08,10418954.19839691,IS
2022-03-09,10642463.74151505,IS
2022-03-10,10642463.74151505,IS
2022-03-11,10642463.74151505,IS
2022-03-14,10642463.74151505,IS
2022-03-15,10642463.74151505,IS
2022-03-16,10642463.74151505,IS
2022-03-17,10642463.74151505,IS
2022-03-18,10618003.750961741,IS
2022-03-21,10618003.750961741,IS
2022-03-22,10650243.497055491,IS
2022-03-23,10618003.750961741,IS
2022-03-24,10615510.758298447,IS
2022-03-25,10615510.758298447,IS
2022-03-28,10615510.758298447,IS
2022-03-29,10615510.758298447,IS
2022-03-30,10615510.758298447,IS
2022-03-31,10615510.758298447,IS
2022-04-01,10615510.758298447,IS
2022-04-04,10615510.758298447,IS
2022-04-05,10615510.758298447,IS
2022-04-06,10591147.452290025,IS
2022-04-07,10591147.452290025,IS
2022-04-08,10687149.748492736,IS
2022-04-11,10687149.748492736,IS
2022-04-12,10687149.748492736,IS
2022-04-13,10687149.748492736,IS
2022-04-14,10687149.748492736,IS
2022-04-18,10687149.748492736,IS
2022-04-19,10661581.377308715,IS
2022-04-20,10696497.783558715,IS
2022-04-21,11042953.620349577,IS
2022-04-22,11042953.620349577,IS
2022-04-25,11042953.620349577,IS
2022-04-26,11042953.620349577,IS
2022-04-27,11042953.620349577,IS
2022-04-28,11042953.620349577,IS
2022-05-09,11017469.076083913,IS
2022-05-10,10912720.638583913,IS
2022-05-11,11087299.544833913,IS
2022-05-12,10563565.169833913,IS
2022-05-13,10633395.638583913,IS
2022-05-17,10738142.513583913,IS
2022-05-18,10946598.685182469,IS
2022-05-19,10946598.685182469,IS
2022-05-20,10946598.685182469,IS
2022-05-23,10946598.685182469,IS
2022-05-24,10946598.685182469,IS
2022-05-25,10946598.685182469,IS
2022-05-27,10946598.685182469,IS
2022-05-30,10946598.685182469,IS
2022-05-31,10946598.685182469,IS
2022-06-02,10946598.685182469,IS
2022-06-03,10946598.685182469,IS
2022-06-06,10946598.685182469,IS
2022-06-07,10921868.620696882,IS
2022-06-08,11200037.379798094,IS
2022-06-09,11200037.379798094,IS
2022-06-10,11200037.379798094,IS
2022-06-13,11200037.379798094,IS
2022-06-14,11200037.379798094,IS
2022-06-15,11200037.379798094,IS
2022-06-16,11200037.379798094,IS
2022-06-17,11200037.379798094,IS
2022-06-20,11200037.379798094,IS
2022-06-21,11200037.379798094,IS
2022-06-22,11200037.379798094,IS
2022-06-23,11200037.379798094,IS
2022-06-24,11200037.379798094,IS
2022-06-27,11200037.379798094,IS
2022-06-28,11200037.379798094,IS
2022-06-29,11200037.379798094,IS
2022-06-30,11200037.379798094,IS
2022-07-01,11200037.379798094,IS
2022-07-04,11200037.379798094,IS
2022-07-05,11200037.379798094,IS
2022-07-06,11200037.379798094,IS
2022-07-07,11200037.379798094,IS
2022-07-08,11200037.379798094,IS
2022-07-11,11200037.379798094,IS
2022-07-12,11200037.379798094,IS
2022-07-13,11200037.379798094,IS
2022-07-14,11200037.379798094,IS
2022-07-15,11200037.379798094,IS
2022-07-18,11200037.379798094,IS
2022-07-19,11200037.379798094,IS
2022-07-20,11200037.379798094,IS
2022-07-21,11200037.379798094,IS
2022-07-22,11200037.379798094,IS
2022-07-25,11200037.379798094,IS
2022-07-26,11200037.379798094,IS
2022-07-27,11200037.379798094,IS
2022-07-28,11200037.379798094,IS
2022-07-29,11200037.379798094,IS
2022-08-01,11200037.379798094,IS
2022-08-02,11200037.379798094,IS
2022-08-03,11200037.379798094,IS
2022-08-04,11200037.379798094,IS
2022-08-05,11200037.379798094,IS
2022-08-08,11200037.379798094,IS
2022-08-09,11200037.379798094,IS
2022-08-10,11200037.379798094,IS
2022-08-11,11200037.379798094,IS
2022-08-12,11200037.379798094,IS
2022-08-15,11200037.379798094,IS
2022-08-16,11200037.379798094,IS
2022-08-18,11200037.379798094,IS
2022-08-19,11200037.379798094,IS
2022-08-22,11200037.379798094,IS
2022-08-23,11200037.379798094,IS
2022-08-24,11200037.379798094,IS
2022-08-25,11200037.379798094,IS
2022-08-26,11200037.379798094,IS
2022-08-29,11200037.379798094,IS
2022-08-30,11200037.379798094,IS
2022-08-31,11200037.379798094,IS
2022-09-01,11200037.379798094,IS
2022-09-02,11200037.379798094,IS
2022-09-05,11200037.379798094,IS
2022-09-06,11200037.379798094,IS
2022-09-07,11200037.379798094,IS
2022-09-08,11200037.379798094,IS
2022-09-09,11200037.379798094,IS
2022-09-12,11200037.379798094,IS
2022-09-13,11200037.379798094,IS
2022-09-14,11200037.379798094,IS
2022-09-15,11200037.379798094,IS
2022-09-16,11200037.379798094,IS
2022-09-19,11200037.379798094,IS
2022-09-20,11200037.379798094,IS
2022-09-21,11200037.379798094,IS
2022-09-22,11200037.379798094,IS
2022-09-23,11173709.288948191,IS
2022-09-26,11239176.085823191,IS
2022-09-27,11075506.896370066,IS
2022-09-28,11108242.492073191,IS
2022-09-29,11136441.818506101,IS
2022-09-30,11136441.818506101,IS
2022-10-03,11136441.818506101,IS
2022-10-04,11136441.818506101,IS
2022-10-05,11136441.818506101,IS
2022-10-06,11136441.818506101,IS
2022-10-07,11110663.869944064,IS
2022-10-10,11241596.731272189,IS
2022-10-11,11176130.666819064,IS
2022-10-12,11237287.348715743,IS
2022-10-13,11237287.348715743,IS
2022-10-14,11237287.348715743,IS
2022-10-17,11237287.348715743,IS
2022-10-18,11237287.348715743,IS
2022-10-19,11237287.348715743,IS
2022-10-20,11237287.348715743,IS
2022-10-21,11237287.348715743,IS
2022-10-24,11237287.348715743,IS
2022-10-25,11237287.348715743,IS
2022-10-26,11237287.348715743,IS
2022-10-27,11237287.348715743,IS
2022-10-28,11237287.348715743,IS
2022-10-31,11237287.348715743,IS
2022-11-01,11237287.348715743,IS
2022-11-02,11237287.348715743,IS
2022-11-03,11237287.348715743,IS
2022-11-04,11237287.348715743,IS
2022-11-07,11237287.348715743,IS
2022-11-08,11237287.348715743,IS
2022-11-09,11237287.348715743,IS
2022-11-10,11237287.348715743,IS
2022-11-11,11237287.348715743,IS
2022-11-14,11237287.348715743,IS
2022-11-15,11237287.348715743,IS
