Date,Equity,BuyHold,phase
2021-10-26,10000000.0,10000000.0,IS
2021-10-27,10000000.0,9900333.481358789,IS
2021-10-28,9977241.886746155,9800664.69083985,IS
2021-10-29,10073117.777958792,9933555.90667005,IS
2021-11-01,10073117.777958792,9833887.116151111,IS
2021-11-02,10049089.32545973,9700996.657613486,IS
2021-11-03,10117637.76295973,9767443.022821164,IS
2021-11-04,10151910.41920973,9800664.69083985,IS
2021-11-05,10220021.078994222,9900333.481358789,IS
2021-11-08,10220021.078994222,10066444.850622525,IS
2021-11-09,10220021.078994222,10199336.066452727,IS
2021-11-10,10220021.078994222,10166113.641141463,IS
2021-11-11,10220021.078994222,10199336.066452727,IS
2021-11-12,10220021.078994222,10000000.0,IS
2021-11-15,10196877.235186093,9966777.574688738,IS
2021-11-16,10164746.619951718,9933555.90667005,IS
2021-11-17,10292742.894555405,10100224.643269759,IS
2021-11-18,10292742.894555405,9866886.897445016,IS
2021-11-19,10292742.894555405,9900221.402057534,IS
2021-11-22,10292742.894555405,9966889.653989993,IS
2021-11-23,10292742.894555405,9966889.653989993,IS
2021-11-24,10292742.894555405,9966889.653989993,IS
2021-11-25,10268220.981180368,9900221.402057534,IS
2021-11-26,10061888.168680368,9700215.888967581,IS
2021-11-29,10233831.918680368,9866886.897445016,IS
2021-11-30,10061888.168680368,9700215.888967581,IS
2021-12-01,10096277.231180368,9733550.393580098,IS
2021-12-02,10336325.170387361,10000223.401309934,IS
2021-12-03,10336325.170387361,9833553.150125073,IS
2021-12-06,10336325.170387361,9800219.402805133,IS
2021-12-07,10336325.170387361,9800219.402805133,IS
2021-12-08,10336325.170387361,9900221.402057534,IS
2021-12-09,10336325.170387361,9800219.402805133,IS
2021-12-10,10336325.170387361,9833553.150125073,IS
2021-12-13,10336325.170387361,9733550.393580098,IS
2021-12-14,10336325.170387361,9733550.393580098,IS
2021-12-15,10336325.170387361,9733550.393580098,IS
2021-12-16,10312298.651778495,9700215.888967581,IS
2021-12-17,10586735.653485488,10000223.401309934,IS
2021-12-20,10586735.653485488,9833553.150125073,IS
2021-12-21,10586735.653485488,9833553.150125073,IS
2021-12-22,10586735.653485488,9766884.898192614,IS
2021-12-23,10586735.653485488,9733550.393580098,IS
2021-12-24,10586735.653485488,9733550.393580098,IS
2021-12-27,10586735.653485488,9800219.402805133,IS
2021-12-28,10586735.653485488,9800219.402805133,IS
2021-12-29,10586735.653485488,9733550.393580098,IS
2021-12-30,10586735.653485488,9733550.393580098,IS
2022-01-03,10586735.653485488,9766884.898192614,IS
2022-01-04,10586735.653485488,9866886.897445016,IS
2022-01-05,10586735.653485488,9933555.90667005,IS
2022-01-06,10586735.653485488,9966889.653989993,IS
2022-01-07,10586735.653485488,10200228.157107312,IS
2022-01-10,10586735.653485488,10133559.905174853,IS
2022-01-11,10586735.653485488,10266896.409039771,IS
2022-01-12,10586735.653485488,10266896.409039771,IS
2022-01-13,10586735.653485488,10266896.409039771,IS
