Date,Equity,phase
2021-10-26,10000000.0,IS
2021-10-27,10000000.0,IS
2021-10-28,10000000.0,IS
2021-10-29,10000000.0,IS
2021-11-01,10000000.0,IS
2021-11-02,10000000.0,IS
2021-11-03,10000000.0,IS
2021-11-04,10000000.0,IS
2021-11-05,10000000.0,IS
2021-11-08,10000000.0,IS
2021-11-09,10000000.0,IS
2021-11-10,10000000.0,IS
2021-11-11,10000000.0,IS
2021-11-12,10000000.0,IS
2021-11-15,9976553.2615779,IS
2021-11-16,9906130.165874775,IS
2021-11-17,10036944.5710434,IS
2021-11-18,10036944.5710434,IS
2021-11-19,10036944.5710434,IS
2021-11-22,10036944.5710434,IS
2021-11-23,10036944.5710434,IS
2021-11-24,10036944.5710434,IS
2021-11-25,10036944.5710434,IS
2021-11-26,10036944.5710434,IS
2021-11-29,10036944.5710434,IS
2021-11-30,10036944.5710434,IS
2021-12-01,10036944.5710434,IS
2021-12-02,10036944.5710434,IS
2021-12-03,10036944.5710434,IS
2021-12-06,10036944.5710434,IS
2021-12-07,10036944.5710434,IS
2021-12-08,10036944.5710434,IS
2021-12-09,10036944.5710434,IS
2021-12-10,10036944.5710434,IS
2021-12-13,10036944.5710434,IS
2021-12-14,10036944.5710434,IS
2021-12-15,10036944.5710434,IS
2021-12-16,10036944.5710434,IS
2021-12-17,10036944.5710434,IS
2021-12-20,10036944.5710434,IS
2021-12-21,10036944.5710434,IS
2021-12-22,10036944.5710434,IS
2021-12-23,10036944.5710434,IS
2021-12-24,10036944.5710434,IS
2021-12-27,10036944.5710434,IS
2021-12-28,10036944.5710434,IS
2021-12-29,10036944.5710434,IS
2021-12-30,10036944.5710434,IS
2022-01-03,10036944.5710434,IS
2022-01-04,10036944.5710434,IS
2022-01-05,10036944.5710434,IS
2022-01-06,10036944.5710434,IS
2022-01-07,10036944.5710434,IS
2022-01-10,10036944.5710434,IS
2022-01-11,10036944.5710434,IS
2022-01-12,10036944.5710434,IS
2022-01-13,10036944.5710434,IS
2022-01-14,10036944.5710434,IS
2022-01-17,10036944.5710434,IS
2022-01-18,10036944.5710434,IS
2022-01-19,10036944.5710434,IS
2022-01-20,10036944.5710434,IS
2022-01-21,10036944.5710434,IS
2022-01-24,10036944.5710434,IS
2022-01-25,10036944.5710434,IS
2022-01-26,10036944.5710434,IS
2022-01-27,10036944.5710434,IS
2022-01-28,10036944.5710434,IS
2022-01-31,10036944.5710434,IS
2022-02-02,10036944.5710434,IS
2022-02-03,10036944.5710434,IS
2022-02-04,10036944.5710434,IS
2022-02-07,10036944.5710434,IS
2022-02-08,10036944.5710434,IS
2022-02-09,10036944.5710434,IS
2022-02-10,10036944.5710434,IS
2022-02-11,10036944.5710434,IS
2022-02-14,10036944.5710434,IS
2022-02-15,10036944.5710434,IS
2022-02-16,10036944.5710434,IS
2022-02-17,10036944.5710434,IS
2022-02-18,10036944.5710434,IS
2022-02-21,10036944.5710434,IS
2022-02-22,10036944.5710434,IS
2022-02-23,10036944.5710434,IS
2022-02-24,10036944.5710434,IS
2022-02-25,10036944.5710434,IS
2022-03-01,10036944.5710434,IS
2022-03-02,10036944.5710434,IS
2022-03-04,10036944.5710434,IS
2022-03-07,10036944.5710434,IS
2022-03-08,10036944.5710434,IS
2022-03-09,10036944.5710434,IS
2022-03-10,10036944.5710434,IS
2022-03-11,10036944.5710434,IS
2022-03-14,10036944.5710434,IS
2022-03-15,10036944.5710434,IS
2022-03-16,10036944.5710434,IS
2022-03-17,10036944.5710434,IS
2022-03-18,10036944.5710434,IS
2022-03-21,10036944.5710434,IS
2022-03-22,10036944.5710434,IS
2022-03-23,10036944.5710434,IS
2022-03-24,10036944.5710434,IS
2022-03-25,10036944.5710434,IS
2022-03-28,10036944.5710434,IS
2022-03-29,10036944.5710434,IS
2022-03-30,10036944.5710434,IS
2022-03-31,10036944.5710434,IS
2022-04-01,10036944.5710434,IS
2022-04-04,10036944.5710434,IS
2022-04-05,10036944.5710434,IS
2022-04-06,10036944.5710434,IS
2022-04-07,10036944.5710434,IS
2022-04-08,10036944.5710434,IS
2022-04-11,10036944.5710434,IS
2022-04-12,10036944.5710434,IS
2022-04-13,10036944.5710434,IS
2022-04-14,10036944.5710434,IS
2022-04-18,10036944.5710434,IS
2022-04-19,10036944.5710434,IS
2022-04-20,10036944.5710434,IS
2022-04-21,10036944.5710434,IS
2022-04-22,10036944.5710434,IS
2022-04-25,10036944.5710434,IS
2022-04-26,10036944.5710434,IS
2022-04-27,10036944.5710434,IS
2022-04-28,10036944.5710434,IS
2022-05-09,10036944.5710434,IS
2022-05-10,10036944.5710434,IS
2022-05-11,10036944.5710434,IS
2022-05-12,10013165.001396487,IS
2022-05-13,9852680.211357424,IS
2022-05-17,10276537.06694657,IS
2022-05-18,10276537.06694657,IS
2022-05-19,10276537.06694657,IS
2022-05-20,10276537.06694657,IS
2022-05-23,10276537.06694657,IS
2022-05-24,10276537.06694657,IS
2022-05-25,10276537.06694657,IS
2022-05-27,10276537.06694657,IS
2022-05-30,10276537.06694657,IS
2022-05-31,10276537.06694657,IS
2022-06-02,10276537.06694657,IS
2022-06-03,10276537.06694657,IS
2022-06-06,10276537.06694657,IS
2022-06-07,10276537.06694657,IS
2022-06-08,10276537.06694657,IS
2022-06-09,10276537.06694657,IS
2022-06-10,10276537.06694657,IS
2022-06-13,10276537.06694657,IS
2022-06-14,10276537.06694657,IS
2022-06-15,10276537.06694657,IS
2022-06-16,10276537.06694657,IS
2022-06-17,10276537.06694657,IS
2022-06-20,10276537.06694657,IS
2022-06-21,10276537.06694657,IS
2022-06-22,10276537.06694657,IS
2022-06-23,10276537.06694657,IS
2022-06-24,10276537.06694657,IS
2022-06-27,10276537.06694657,IS
2022-06-28,10276537.06694657,IS
2022-06-29,10276537.06694657,IS
2022-06-30,10276537.06694657,IS
2022-07-01,10276537.06694657,IS
2022-07-04,10276537.06694657,IS
2022-07-05,10276537.06694657,IS
2022-07-06,10276537.06694657,IS
2022-07-07,10276537.06694657,IS
2022-07-08,10276537.06694657,IS
2022-07-11,10276537.06694657,IS
2022-07-12,10276537.06694657,IS
2022-07-13,10276537.06694657,IS
2022-07-14,10276537.06694657,IS
2022-07-15,10276537.06694657,IS
2022-07-18,10276537.06694657,IS
2022-07-19,10276537.06694657,IS
2022-07-20,10276537.06694657,IS
2022-07-21,10276537.06694657,IS
2022-07-22,10276537.06694657,IS
2022-07-25,10276537.06694657,IS
2022-07-26,10276537.06694657,IS
2022-07-27,10276537.06694657,IS
2022-07-28,10276537.06694657,IS
2022-07-29,10276537.06694657,IS
2022-08-01,10276537.06694657,IS
2022-08-02,10276537.06694657,IS
2022-08-03,10276537.06694657,IS
2022-08-04,10276537.06694657,IS
2022-08-05,10276537.06694657,IS
2022-08-08,10276537.06694657,IS
2022-08-09,10276537.06694657,IS
2022-08-10,10276537.06694657,IS
2022-08-11,10276537.06694657,IS
2022-08-12,10276537.06694657,IS
2022-08-15,10276537.06694657,IS
2022-08-16,10276537.06694657,IS
2022-08-18,10276537.06694657,IS
2022-08-19,10276537.06694657,IS
2022-08-22,10276537.06694657,IS
2022-08-23,10276537.06694657,IS
2022-08-24,10276537.06694657,IS
2022-08-25,10276537.06694657,IS
2022-08-26,10276537.06694657,IS
2022-08-29,10276537.06694657,IS
2022-08-30,10276537.06694657,IS
2022-08-31,10276537.06694657,IS
2022-09-01,10276537.06694657,IS
2022-09-02,10276537.06694657,IS
2022-09-05,10276537.06694657,IS
2022-09-06,10276537.06694657,IS
2022-09-07,10276537.06694657,IS
2022-09-08,10276537.06694657,IS
2022-09-09,10276537.06694657,IS
2022-09-12,10276537.06694657,IS
2022-09-13,10276537.06694657,IS
2022-09-14,10276537.06694657,IS
2022-09-15,10276537.06694657,IS
2022-09-16,10276537.06694657,IS
2022-09-19,10276537.06694657,IS
2022-09-20,10276537.06694657,IS
2022-09-21,10276537.06694657,IS
2022-09-22,10276537.06694657,IS
2022-09-23,10276537.06694657,IS
2022-09-26,10276537.06694657,IS
2022-09-27,10276537.06694657,IS
2022-09-28,10276537.06694657,IS
2022-09-29,10276537.06694657,IS
2022-09-30,10276537.06694657,IS
2022-10-03,10276537.06694657,IS
2022-10-04,10276537.06694657,IS
2022-10-05,10276537.06694657,IS
2022-10-06,10276537.06694657,IS
2022-10-07,10276537.06694657,IS
2022-10-10,10276537.06694657,IS
2022-10-11,10276537.06694657,IS
2022-10-12,10276537.06694657,IS
2022-10-13,10276537.06694657,IS
2022-10-14,10276537.06694657,IS
2022-10-17,10276537.06694657,IS
2022-10-18,10276537.06694657,IS
2022-10-19,10276537.06694657,IS
2022-10-20,10276537.06694657,IS
2022-10-21,10276537.06694657,IS
2022-10-24,10276537.06694657,IS
2022-10-25,10276537.06694657,IS
2022-10-26,10276537.06694657,IS
2022-10-27,10276537.06694657,IS
2022-10-28,10276537.06694657,IS
2022-10-31,10276537.06694657,IS
2022-11-01,10276537.06694657,IS
2022-11-02,10276537.06694657,IS
2022-11-03,10276537.06694657,IS
2022-11-04,10276537.06694657,IS
2022-11-07,10276537.06694657,IS
2022-11-08,10276537.06694657,IS
2022-11-09,10276537.06694657,IS
2022-11-10,10276537.06694657,IS
2022-11-11,10276537.06694657,IS
2022-11-14,10276537.06694657,IS
2022-11-15,10276537.06694657,IS
2022-11-16,10276537.06694657,IS
2022-11-17,10276537.06694657,IS
