Date,Equity,BuyHold,phase
2021-10-26,10000000.0,10000000.0,IS
2021-10-27,10000000.0,9862068.105815584,IS
2021-10-28,10000000.0,9747125.123650808,IS
2021-10-29,10000000.0,9770114.035670448,IS
2021-11-01,10000000.0,9724136.211631168,IS
2021-11-02,10000000.0,9678158.38759189,IS
2021-11-03,10000000.0,9862068.105815584,IS
2021-11-04,10000000.0,9770114.035670448,IS
2021-11-05,10000000.0,9747125.123650808,IS
2021-11-08,10000000.0,9724136.211631168,IS
2021-11-09,10000000.0,9770114.035670448,IS
2021-11-10,10000000.0,9770114.035670448,IS
2021-11-11,10000000.0,9770114.035670448,IS
2021-11-12,10000000.0,9701148.08857824,IS
2021-11-15,9976553.259643542,9563217.772327244,IS
2021-11-16,9906127.74694823,9494251.825235037,IS
2021-11-17,10036945.369296925,9655171.842472382,IS
2021-11-18,10036945.369296925,9609194.018433103,IS
2021-11-19,10036945.369296925,9839079.193795944,IS
2021-11-22,10036945.369296925,9839079.193795944,IS
2021-11-23,10036945.369296925,9678158.38759189,IS
2021-11-24,10036945.369296925,9678158.38759189,IS
2021-11-25,10036945.369296925,9701148.08857824,IS
2021-11-26,10036945.369296925,9563217.772327244,IS
2021-11-29,10036945.369296925,9586205.895380175,IS
2021-11-30,10036945.369296925,9402297.7550899,IS
2021-12-01,10036945.369296925,9379309.63203697,IS
2021-12-02,10036945.369296925,9655171.842472382,IS
2021-12-03,10036945.369296925,9586205.895380175,IS
2021-12-06,10036945.369296925,9448274.001195759,IS
2021-12-07,10036945.369296925,9724136.211631168,IS
2021-12-08,10036945.369296925,9678158.38759189,IS
2021-12-09,10036945.369296925,9632182.14148603,IS
2021-12-10,10036945.369296925,9494251.825235037,IS
2021-12-13,10036945.369296925,9563217.772327244,IS
2021-12-14,10036945.369296925,9494251.825235037,IS
2021-12-15,10036945.369296925,9655171.842472382,IS
2021-12-16,10036945.369296925,9517240.737254675,IS
2021-12-17,10036945.369296925,9448274.001195759,IS
2021-12-20,10036945.369296925,9471263.702182109,IS
2021-12-21,10036945.369296925,9379309.63203697,IS
2021-12-22,10036945.369296925,9310344.473911475,IS
2021-12-23,10036945.369296925,9425287.456076251,IS
2021-12-24,10036945.369296925,9356321.508984042,IS
2021-12-27,10036945.369296925,9333331.807997692,IS
2021-12-28,10036945.369296925,9402297.7550899,IS
2021-12-29,10036945.369296925,9379309.63203697,IS
2021-12-30,10036945.369296925,9448274.001195759,IS
2022-01-03,10036945.369296925,9609194.018433103,IS
2022-01-04,10036945.369296925,9563217.772327244,IS
2022-01-05,10036945.369296925,9678158.38759189,IS
2022-01-06,10036945.369296925,9563217.772327244,IS
2022-01-07,10036945.369296925,9632182.14148603,IS
2022-01-10,10036945.369296925,9609194.018433103,IS
2022-01-11,10036945.369296925,9540229.649274316,IS
2022-01-12,10036945.369296925,9563217.772327244,IS
2022-01-13,10036945.369296925,9632182.14148603,IS
2022-01-14,10036945.369296925,9609194.018433103,IS
2022-01-17,10036945.369296925,9678158.38759189,IS
2022-01-18,10036945.369296925,9632182.14148603,IS
2022-01-19,10036945.369296925,9494251.825235037,IS
2022-01-20,10036945.369296925,9494251.825235037,IS
2022-01-21,10036945.369296925,9586205.895380175,IS
2022-01-24,10036945.369296925,9471263.702182109,IS
2022-01-25,10036945.369296925,9356321.508984042,IS
2022-01-26,10036945.369296925,9402297.7550899,IS
2022-01-27,10036945.369296925,9517240.737254675,IS
2022-01-28,10036945.369296925,9517240.737254675,IS
2022-01-31,10036945.369296925,9356321.508984042,IS
2022-02-02,10036945.369296925,9356321.508984042,IS
2022-02-03,10036945.369296925,9494251.825235037,IS
