Date,Equity,phase
2021-10-26,10000000.0,IS
2021-10-27,10000000.0,IS
2021-10-28,9976157.469190821,IS
2021-10-29,10153725.778347803,IS
2021-11-01,10153725.778347803,IS
2021-11-02,10129883.247538624,IS
2021-11-03,10271242.622538624,IS
2021-11-04,10307451.556695607,IS
2021-11-05,10307451.556695607,IS
2021-11-08,10283099.93544729,IS
2021-11-09,10101984.237205103,IS
2021-11-10,10465232.557716079,IS
2021-11-11,10465232.557716079,IS
2021-11-12,10465232.557716079,IS
2021-11-15,10465232.557716079,IS
2021-11-16,10465232.557716079,IS
2021-11-17,10465232.557716079,IS
2021-11-18,10465232.557716079,IS
2021-11-19,10465232.557716079,IS
2021-11-22,10465232.557716079,IS
2021-11-23,10465232.557716079,IS
2021-11-24,10465232.557716079,IS
2021-11-25,10465232.557716079,IS
2021-11-26,10465232.557716079,IS
2021-11-29,10465232.557716079,IS
2021-11-30,10465232.557716079,IS
2021-12-01,10465232.557716079,IS
2021-12-02,10465232.557716079,IS
2021-12-03,10465232.557716079,IS
2021-12-06,10465232.557716079,IS
2021-12-07,10465232.557716079,IS
2021-12-08,10465232.557716079,IS
2021-12-09,10465232.557716079,IS
2021-12-10,10465232.557716079,IS
2021-12-13,10465232.557716079,IS
2021-12-14,10465232.557716079,IS
2021-12-15,10465232.557716079,IS
2021-12-16,10465232.557716079,IS
2021-12-17,10465232.557716079,IS
2021-12-20,10440620.02518437,IS
2021-12-21,10549291.045692183,IS
2021-12-22,10404397.686317183,IS
2021-12-23,10440620.02518437,IS
2021-12-24,10404397.686317183,IS
2021-12-27,10331950.00565312,IS
2021-12-28,10404397.686317183,IS
2021-12-29,10441881.164322967,IS
2021-12-30,10441881.164322967,IS
2022-01-03,10441881.164322967,IS
2022-01-04,10441881.164322967,IS
2022-01-05,10441881.164322967,IS
2022-01-06,10441881.164322967,IS
2022-01-07,10441881.164322967,IS
2022-01-10,10441881.164322967,IS
2022-01-11,10441881.164322967,IS
2022-01-12,10441881.164322967,IS
2022-01-13,10441881.164322967,IS
2022-01-14,10441881.164322967,IS
2022-01-17,10441881.164322967,IS
2022-01-18,10441881.164322967,IS
2022-01-19,10417442.57024356,IS
2022-01-20,10599450.087129466,IS
2022-01-21,10599450.087129466,IS
2022-01-24,10599450.087129466,IS
2022-01-25,10599450.087129466,IS
2022-01-26,10599450.087129466,IS
2022-01-27,10599450.087129466,IS
2022-01-28,10599450.087129466,IS
2022-01-31,10599450.087129466,IS
2022-02-02,10599450.087129466,IS
2022-02-03,10599450.087129466,IS
2022-02-04,10599450.087129466,IS
2022-02-07,10599450.087129466,IS
2022-02-08,10599450.087129466,IS
2022-02-09,10599450.087129466,IS
2022-02-10,10599450.087129466,IS
2022-02-11,10599450.087129466,IS
2022-02-14,10599450.087129466,IS
2022-02-15,10599450.087129466,IS
2022-02-16,10599450.087129466,IS
2022-02-17,10599450.087129466,IS
2022-02-18,10599450.087129466,IS
2022-02-21,10599450.087129466,IS
2022-02-22,10599450.087129466,IS
2022-02-23,10599450.087129466,IS
2022-02-24,10574623.307618186,IS
2022-02-25,10574623.307618186,IS
2022-03-01,10507476.67675881,IS
2022-03-02,10473903.82519631,IS
2022-03-04,10507476.67675881,IS
2022-03-07,10373185.27050881,IS
2022-03-08,10373185.27050881,IS
2022-03-09,10439103.764449475,IS
2022-03-10,10439103.764449475,IS
2022-03-11,10439103.764449475,IS
2022-03-14,10439103.764449475,IS
2022-03-15,10439103.764449475,IS
2022-03-16,10439103.764449475,IS
2022-03-17,10439103.764449475,IS
2022-03-18,10439103.764449475,IS
2022-03-21,10439103.764449475,IS
2022-03-22,10439103.764449475,IS
2022-03-23,10439103.764449475,IS
2022-03-24,10439103.764449475,IS
2022-03-25,10439103.764449475,IS
2022-03-28,10439103.764449475,IS
2022-03-29,10439103.764449475,IS
2022-03-30,10439103.764449475,IS
2022-03-31,10439103.764449475,IS
2022-04-01,10439103.764449475,IS
2022-04-04,10414757.897860957,IS
2022-04-05,10414757.897860957,IS
2022-04-06,10220378.869540645,IS
2022-04-07,10252776.08633752,IS
2022-04-08,10252776.08633752,IS
2022-04-11,10220378.869540645,IS
2022-04-12,10252776.08633752,IS
2022-04-13,10251150.372037435,IS
2022-04-14,10251150.372037435,IS
2022-04-18,10226748.946492875,IS
2022-04-19,10160104.122274125,IS
2022-04-20,10491088.087337427,IS
2022-04-21,10491088.087337427,IS
2022-04-22,10491088.087337427,IS
2022-04-25,10491088.087337427,IS
2022-04-26,10491088.087337427,IS
2022-04-27,10491088.087337427,IS
2022-04-28,10491088.087337427,IS
2022-05-09,10491088.087337427,IS
2022-05-10,10491088.087337427,IS
2022-05-11,10491088.087337427,IS
2022-05-12,10466586.656656757,IS
2022-05-13,10369396.715250507,IS
2022-05-17,10434190.29435207,IS
2022-05-18,10498983.018961444,IS
2022-05-19,10498983.018961444,IS
2022-05-20,10593336.987523511,IS
2022-05-23,10593336.987523511,IS
2022-05-24,10593336.987523511,IS
2022-05-25,10593336.987523511,IS
2022-05-27,10593336.987523511,IS
2022-05-30,10593336.987523511,IS
2022-05-31,10593336.987523511,IS
2022-06-02,10593336.987523511,IS
2022-06-03,10593336.987523511,IS
2022-06-06,10593336.987523511,IS
2022-06-07,10593336.987523511,IS
2022-06-08,10593336.987523511,IS
2022-06-09,10593336.987523511,IS
2022-06-10,10568628.877310656,IS
2022-06-13,10474216.621451281,IS
2022-06-14,10600098.799185656,IS
2022-06-15,10690474.305421919,IS
2022-06-16,10690474.305421919,IS
2022-06-17,10665350.618372645,IS
2022-06-20,10892126.863489833,IS
2022-06-21,10892126.863489833,IS
2022-06-22,10762540.559778895,IS
2022-06-23,10762540.559778895,IS
2022-06-24,10920366.893749129,IS
2022-06-27,10920366.893749129,IS
2022-06-28,10920366.893749129,IS
2022-06-29,10894218.698943183,IS
2022-06-30,10859971.11593537,IS
2022-07-01,10414750.730193183,IS
2022-07-04,10140768.259490058,IS
2022-07-05,10483245.896208808,IS
2022-07-06,10312007.077849433,IS
2022-07-07,10175015.84249787,IS
2022-07-08,10243511.911833808,IS
2022-07-11,10243511.911833808,IS
2022-07-12,10175015.84249787,IS
2022-07-13,9969530.344450995,IS
2022-07-14,9969530.344450995,IS
2022-07-15,9832540.012419745,IS
2022-07-18,10038053.689515268,IS
2022-07-19,10038053.689515268,IS
2022-07-20,10038053.689515268,IS
2022-07-21,10038053.689515268,IS
2022-07-22,10038053.689515268,IS
2022-07-25,10038053.689515268,IS
2022-07-26,10038053.689515268,IS
2022-07-27,10038053.689515268,IS
2022-07-28,10038053.689515268,IS
2022-07-29,10038053.689515268,IS
2022-08-01,10038053.689515268,IS
2022-08-02,10038053.689515268,IS
2022-08-03,10038053.689515268,IS
2022-08-04,10038053.689515268,IS
2022-08-05,10038053.689515268,IS
2022-08-08,10038053.689515268,IS
2022-08-09,10038053.689515268,IS
2022-08-10,10038053.689515268,IS
2022-08-11,10038053.689515268,IS
2022-08-12,10038053.689515268,IS
2022-08-15,10038053.689515268,IS
2022-08-16,10038053.689515268,IS
2022-08-18,10038053.689515268,IS
2022-08-19,10038053.689515268,IS
2022-08-22,10038053.689515268,IS
2022-08-23,10038053.689515268,IS
2022-08-24,10038053.689515268,IS
2022-08-25,10038053.689515268,IS
2022-08-26,10014630.098337933,IS
2022-08-29,10038666.005647028,IS
2022-08-30,10038666.005647028,IS
2022-08-31,10038666.005647028,IS
2022-09-01,10038666.005647028,IS
2022-09-02,10038666.005647028,IS
2022-09-05,10038666.005647028,IS
2022-09-06,10038666.005647028,IS
2022-09-07,10038666.005647028,IS
2022-09-08,10038666.005647028,IS
2022-09-09,10038666.005647028,IS
2022-09-12,10038666.005647028,IS
2022-09-13,10038666.005647028,IS
2022-09-14,10038666.005647028,IS
2022-09-15,10038666.005647028,IS
2022-09-16,10015206.857255999,IS
2022-09-19,10115757.750850465,IS
2022-09-20,10115757.750850465,IS
2022-09-21,10115757.750850465,IS
2022-09-22,10115757.750850465,IS
2022-09-23,10115757.750850465,IS
2022-09-26,10115757.750850465,IS
2022-09-27,10115757.750850465,IS
2022-09-28,10115757.750850465,IS
2022-09-29,10115757.750850465,IS
2022-09-30,10115757.750850465,IS
2022-10-03,10115757.750850465,IS
2022-10-04,10115757.750850465,IS
2022-10-05,10115757.750850465,IS
2022-10-06,10115757.750850465,IS
2022-10-07,10115757.750850465,IS
2022-10-10,10115757.750850465,IS
2022-10-11,10115757.750850465,IS
2022-10-12,10115757.750850465,IS
2022-10-13,10115757.750850465,IS
2022-10-14,10115757.750850465,IS
2022-10-17,10115757.750850465,IS
2022-10-18,10115757.750850465,IS
2022-10-19,10115757.750850465,IS
2022-10-20,10115757.750850465,IS
2022-10-21,10115757.750850465,IS
2022-10-24,10115757.750850465,IS
2022-10-25,10115757.750850465,IS
2022-10-26,10115757.750850465,IS
2022-10-27,10115757.750850465,IS
2022-10-28,10115757.750850465,IS
2022-10-31,10115757.750850465,IS
2022-11-01,10115757.750850465,IS
2022-11-02,10091576.340016853,IS
2022-11-03,10191542.257985603,IS
2022-11-04,10166552.09685279,IS
2022-11-07,10231694.626629958,IS
2022-11-08,10231694.626629958,IS
2022-11-09,10231694.626629958,IS
2022-11-10,10207453.212503659,IS
2022-11-11,10496925.83252149,IS
2022-11-14,10496925.83252149,IS
2022-11-15,10496925.83252149,IS
