Date,Equity,BuyHold,phase
2021-10-26,10000000.0,10000000.0,IS
2021-10-27,10000000.0,9965155.697388656,IS
2021-10-28,9976157.471535498,9790938.998543797,IS
2021-10-29,10153727.730498586,10000000.0,IS
2021-11-01,10153727.730498586,10000000.0,IS
2021-11-02,10129885.202034084,9790938.998543797,IS
2021-11-03,10271245.553596584,9930313.320462056,IS
2021-11-04,10307455.460997172,10000000.0,IS
2021-11-05,10307455.460997172,9895469.017850712,IS
2021-11-08,10283103.839748856,9756095.658774827,IS
2021-11-09,10101988.141506668,9581879.922772339,IS
2021-11-10,10465235.464442952,9965155.697388656,IS
2021-11-11,10465235.464442952,10069684.753853198,IS
2021-11-12,10465235.464442952,9895469.017850712,IS
2021-11-15,10465235.464442952,9825783.30115514,IS
2021-11-16,10465235.464442952,10069684.753853198,IS
2021-11-17,10465235.464442952,10069684.753853198,IS
2021-11-18,10465235.464442952,10000000.0,IS
2021-11-19,10465235.464442952,10104527.1307798,IS
2021-11-22,10465235.464442952,10243901.45269806,IS
2021-11-23,10465235.464442952,9965155.697388656,IS
2021-11-24,10465235.464442952,9965155.697388656,IS
2021-11-25,10465235.464442952,10243901.45269806,IS
2021-11-26,10465235.464442952,9895469.017850712,IS
2021-11-29,10465235.464442952,10000000.0,IS
2021-11-30,10465235.464442952,9756095.658774827,IS
2021-12-01,10465235.464442952,9860625.67808174,IS
2021-12-02,10465235.464442952,10034843.33976897,IS
2021-12-03,10465235.464442952,9965155.697388656,IS
2021-12-06,10465235.464442952,10000000.0,IS
2021-12-07,10465235.464442952,10174214.773160115,IS
2021-12-08,10465235.464442952,9965155.697388656,IS
2021-12-09,10465235.464442952,10243901.45269806,IS
2021-12-10,10465235.464442952,10034843.33976897,IS
2021-12-13,10465235.464442952,9930313.320462056,IS
2021-12-14,10465235.464442952,10000000.0,IS
2021-12-15,10465235.464442952,10139370.47054877,IS
2021-12-16,10465235.464442952,10104527.1307798,IS
2021-12-17,10465235.464442952,9965155.697388656,IS
2021-12-20,10440622.931911243,9860625.67808174,IS
2021-12-21,10549292.951442493,9965155.697388656,IS
2021-12-22,10404400.593044056,9825783.30115514,IS
2021-12-23,10440622.931911243,9860625.67808174,IS
2021-12-24,10404400.593044056,9825783.30115514,IS
2021-12-27,10331952.912379993,9756095.658774827,IS
2021-12-28,10404400.593044056,9825783.30115514,IS
2021-12-29,10441884.07104984,9895469.017850712,IS
2021-12-30,10441884.07104984,9790938.998543797,IS
2022-01-03,10441884.07104984,9825783.30115514,IS
2022-01-04,10441884.07104984,10000000.0,IS
2022-01-05,10441884.07104984,9790938.998543797,IS
2022-01-06,10441884.07104984,9790938.998543797,IS
2022-01-07,10441884.07104984,9825783.30115514,IS
2022-01-10,10441884.07104984,9825783.30115514,IS
2022-01-11,10441884.07104984,9825783.30115514,IS
2022-01-12,10441884.07104984,9965155.697388656,IS
2022-01-13,10441884.07104984,9930313.320462056,IS
2022-01-14,10441884.07104984,10000000.0,IS
2022-01-17,10441884.07104984,10034843.33976897,IS
2022-01-18,10441884.07104984,10104527.1307798,IS
2022-01-19,10417445.479373725,9790938.998543797,IS
2022-01-20,10599454.994810889,10000000.0,IS
2022-01-21,10599454.994810889,10174214.773160115,IS
2022-01-24,10599454.994810889,10139370.47054877,IS
2022-01-25,10599454.994810889,10069684.753853198,IS
2022-01-26,10599454.994810889,10418118.151542917,IS
2022-01-27,10599454.994810889,10522647.208007459,IS
2022-01-28,10599454.994810889,10662018.641398601,IS
2022-01-31,10599454.994810889,10418118.151542917,IS
2022-02-02,10599454.994810889,10418118.151542917,IS
2022-02-03,10599454.994810889,10418118.151542917,IS
2022-02-04,10599454.994810889,10418118.151542917,IS
2022-02-07,10599454.994810889,10452960.528469514,IS
2022-02-08,10599454.994810889,10627176.264472002,IS
2022-02-09,10599454.994810889,10696862.944009947,IS
2022-02-10,10599454.994810889,10766549.62354789,IS
2022-02-11,10599454.994810889,10766549.62354789,IS
2022-02-14,10599454.994810889,10871078.680012431,IS
2022-02-15,10599454.994810889,11010452.039088318,IS
2022-02-16,10599454.994810889,10940765.359550375,IS
2022-02-17,10599454.994810889,10940765.359550375,IS
2022-02-18,10599454.994810889,10940765.359550375,IS
2022-02-21,10599454.994810889,10940765.359550375,IS
2022-02-22,10599454.994810889,10975607.736476976,IS
2022-02-23,10599454.994810889,10975607.736476976,IS
2022-02-24,10574628.219754495,10731705.320936544,IS
2022-02-25,10574628.219754495,10731705.320936544,IS
2022-03-01,10507482.516629495,10662018.641398601,IS
2022-03-02,10473910.59280137,10627176.264472002,IS
2022-03-04,10507482.516629495,10662018.641398601,IS
2022-03-07,10373192.965848245,10522647.208007459,IS
2022-03-08,10373192.965848245,10522647.208007459,IS
2022-03-09,10439110.532054534,10627176.264472002,IS
2022-03-10,10439110.532054534,10696862.944009947,IS
2022-03-11,10439110.532054534,10662018.641398601,IS
2022-03-14,10439110.532054534,10801392.96331686,IS
2022-03-15,10439110.532054534,10836236.303085834,IS
2022-03-16,10439110.532054534,11080137.75578389,IS
2022-03-17,10439110.532054534,11080137.75578389,IS
2022-03-18,10439110.532054534,11045295.378857292,IS
2022-03-21,10439110.532054534,11170336.829221418,IS
2022-03-22,10439110.532054534,11206841.072082616,IS
2022-03-23,10439110.532054534,11352859.969212152,IS
2022-03-24,10439110.532054534,11571886.389221711,IS
2022-03-25,10439110.532054534,11462372.697795747,IS
2022-03-28,10439110.532054534,11498877.903499316,IS
2022-03-29,10439110.532054534,11571886.389221711,IS
2022-03-30,10439110.532054534,11498877.903499316,IS
2022-03-31,10439110.532054534,11535381.183518142,IS
2022-04-01,10439110.532054534,11498877.903499316,IS
2022-04-04,10414764.665466016,11425868.454934547,IS
2022-04-05,10414764.665466016,11425868.454934547,IS
2022-04-06,10220384.782653516,11206841.072082616,IS
2022-04-07,10252781.999450391,11243346.277786186,IS
2022-04-08,10252781.999450391,11243346.277786186,IS
2022-04-11,10220384.782653516,11206841.072082616,IS
2022-04-12,10252781.999450391,11243346.277786186,IS
2022-04-13,10251157.139642494,11279850.520647386,IS
2022-04-14,10251157.139642494,11206841.072082616,IS
2022-04-18,10226755.714097934,11133833.549202595,IS
2022-04-19,10160111.768785434,11060825.063480197,IS
2022-04-20,10491094.854942486,11462372.697795747,IS
2022-04-21,10491094.854942486,12119451.957824424,IS
2022-04-22,10491094.854942486,12082947.714963226,IS
2022-04-25,10491094.854942486,12009938.266398456,IS
2022-04-26,10491094.854942486,12192459.480704447,IS
2022-04-27,10491094.854942486,12009938.266398456,IS
2022-04-28,10491094.854942486,13068565.160742681,IS
