Date,Equity,phase
2021-10-26,10000000.0,IS
2021-10-27,10000000.0,IS
2021-10-28,10000000.0,IS
2021-10-29,10000000.0,IS
2021-11-01,10000000.0,IS
2021-11-02,10000000.0,IS
2021-11-03,10000000.0,IS
2021-11-04,10000000.0,IS
2021-11-05,10000000.0,IS
2021-11-08,10000000.0,IS
2021-11-09,10000000.0,IS
2021-11-10,10000000.0,IS
2021-11-11,9976408.903521279,IS
2021-11-12,9841809.684771279,IS
2021-11-15,9841809.684771279,IS
2021-11-16,9996673.591541888,IS
2021-11-17,9996673.591541888,IS
2021-11-18,9996673.591541888,IS
2021-11-19,9996673.591541888,IS
2021-11-22,9996673.591541888,IS
2021-11-23,9996673.591541888,IS
2021-11-24,9996673.591541888,IS
2021-11-25,9996673.591541888,IS
2021-11-26,9996673.591541888,IS
2021-11-29,9996673.591541888,IS
2021-11-30,9996673.591541888,IS
2021-12-01,9996673.591541888,IS
2021-12-02,9996673.591541888,IS
2021-12-03,9996673.591541888,IS
2021-12-06,9996673.591541888,IS
2021-12-07,9996673.591541888,IS
2021-12-08,9996673.591541888,IS
2021-12-09,9996673.591541888,IS
2021-12-10,9996673.591541888,IS
2021-12-13,9996673.591541888,IS
2021-12-14,9996673.591541888,IS
2021-12-15,9996673.591541888,IS
2021-12-16,9996673.591541888,IS
2021-12-17,9996673.591541888,IS
2021-12-20,9996673.591541888,IS
2021-12-21,9996673.591541888,IS
2021-12-22,9996673.591541888,IS
2021-12-23,9996673.591541888,IS
2021-12-24,9996673.591541888,IS
2021-12-27,9996673.591541888,IS
2021-12-28,9996673.591541888,IS
2021-12-29,9996673.591541888,IS
2021-12-30,9972737.783297656,IS
2022-01-03,10283153.660097456,IS
2022-01-04,10283153.660097456,IS
2022-01-05,10283153.660097456,IS
2022-01-06,10283153.660097456,IS
2022-01-07,10283153.660097456,IS
2022-01-10,10283153.660097456,IS
2022-01-11,10283153.660097456,IS
2022-01-12,10283153.660097456,IS
2022-01-13,10283153.660097456,IS
2022-01-14,10283153.660097456,IS
2022-01-17,10283153.660097456,IS
2022-01-18,10283153.660097456,IS
2022-01-19,10283153.660097456,IS
2022-01-20,10283153.660097456,IS
2022-01-21,10283153.660097456,IS
2022-01-24,10283153.660097456,IS
2022-01-25,10283153.660097456,IS
2022-01-26,10283153.660097456,IS
2022-01-27,10283153.660097456,IS
2022-01-28,10283153.660097456,IS
2022-01-31,10283153.660097456,IS
2022-02-02,10259196.305730268,IS
2022-02-03,10330983.024480268,IS
2022-02-04,10368368.5567923,IS
2022-02-07,10368368.5567923,IS
2022-02-08,10368368.5567923,IS
2022-02-09,10368368.5567923,IS
2022-02-10,10368368.5567923,IS
2022-02-11,10368368.5567923,IS
2022-02-14,10368368.5567923,IS
2022-02-15,10368368.5567923,IS
2022-02-16,10368368.5567923,IS
2022-02-17,10368368.5567923,IS
2022-02-18,10368368.5567923,IS
2022-02-21,10368368.5567923,IS
2022-02-22,10343664.330655348,IS
2022-02-23,10427932.579015583,IS
2022-02-24,10427932.579015583,IS
2022-02-25,10427932.579015583,IS
2022-03-01,10427932.579015583,IS
2022-03-02,10427932.579015583,IS
2022-03-04,10427932.579015583,IS
2022-03-07,10427932.579015583,IS
2022-03-08,10427932.579015583,IS
2022-03-09,10427932.579015583,IS
2022-03-10,10427932.579015583,IS
2022-03-11,10427932.579015583,IS
2022-03-14,10427932.579015583,IS
2022-03-15,10427932.579015583,IS
2022-03-16,10427932.579015583,IS
2022-03-17,10427932.579015583,IS
2022-03-18,10427932.579015583,IS
2022-03-21,10427932.579015583,IS
2022-03-22,10427932.579015583,IS
2022-03-23,10427932.579015583,IS
2022-03-24,10427932.579015583,IS
2022-03-25,10427932.579015583,IS
2022-03-28,10427932.579015583,IS
2022-03-29,10427932.579015583,IS
2022-03-30,10427932.579015583,IS
2022-03-31,10427932.579015583,IS
2022-04-01,10427932.579015583,IS
2022-04-04,10427932.579015583,IS
2022-04-05,10403587.424329842,IS
2022-04-06,10201688.742689217,IS
2022-04-07,10413839.562017439,IS
2022-04-08,10413839.562017439,IS
2022-04-11,10413839.562017439,IS
2022-04-12,10413839.562017439,IS
2022-04-13,10413839.562017439,IS
2022-04-14,10413839.562017439,IS
2022-04-18,10413839.562017439,IS
2022-04-19,10413839.562017439,IS
2022-04-20,10413839.562017439,IS
2022-04-21,10413839.562017439,IS
2022-04-22,10413839.562017439,IS
2022-04-25,10413839.562017439,IS
2022-04-26,10413839.562017439,IS
2022-04-27,10413839.562017439,IS
2022-04-28,10413839.562017439,IS
2022-05-09,10389077.883773025,IS
2022-05-10,10460864.602523025,IS
2022-05-11,10436934.915023025,IS
2022-05-12,10365148.977523025,IS
2022-05-13,10269434.133773025,IS
2022-05-17,10078003.665023025,IS
2022-05-18,10210943.735011268,IS
2022-05-19,10210943.735011268,IS
2022-05-20,10210943.735011268,IS
2022-05-23,10186593.196300663,IS
2022-05-24,10285299.934581913,IS
2022-05-25,10373459.528946243,IS
2022-05-27,10373459.528946243,IS
2022-05-30,10373459.528946243,IS
2022-05-31,10373459.528946243,IS
2022-06-02,10373459.528946243,IS
2022-06-03,10373459.528946243,IS
2022-06-06,10373459.528946243,IS
2022-06-07,10373459.528946243,IS
2022-06-08,10373459.528946243,IS
2022-06-09,10349340.532496048,IS
2022-06-10,10274929.594996048,IS
2022-06-13,10389359.645428352,IS
2022-06-14,10389359.645428352,IS
2022-06-15,10389359.645428352,IS
2022-06-16,10389359.645428352,IS
2022-06-17,10389359.645428352,IS
2022-06-20,10389359.645428352,IS
2022-06-21,10389359.645428352,IS
2022-06-22,10389359.645428352,IS
2022-06-23,10389359.645428352,IS
2022-06-24,10389359.645428352,IS
2022-06-27,10389359.645428352,IS
2022-06-28,10389359.645428352,IS
2022-06-29,10389359.645428352,IS
2022-06-30,10389359.645428352,IS
2022-07-01,10389359.645428352,IS
2022-07-04,10389359.645428352,IS
2022-07-05,10389359.645428352,IS
2022-07-06,10389359.645428352,IS
2022-07-07,10389359.645428352,IS
2022-07-08,10389359.645428352,IS
2022-07-11,10389359.645428352,IS
2022-07-12,10389359.645428352,IS
2022-07-13,10389359.645428352,IS
2022-07-14,10389359.645428352,IS
2022-07-15,10389359.645428352,IS
2022-07-18,10389359.645428352,IS
2022-07-19,10389359.645428352,IS
2022-07-20,10389359.645428352,IS
2022-07-21,10389359.645428352,IS
2022-07-22,10389359.645428352,IS
2022-07-25,10389359.645428352,IS
2022-07-26,10389359.645428352,IS
2022-07-27,10389359.645428352,IS
2022-07-28,10389359.645428352,IS
2022-07-29,10389359.645428352,IS
2022-08-01,10389359.645428352,IS
2022-08-02,10389359.645428352,IS
2022-08-03,10389359.645428352,IS
2022-08-04,10389359.645428352,IS
2022-08-05,10389359.645428352,IS
2022-08-08,10389359.645428352,IS
2022-08-09,10389359.645428352,IS
2022-08-10,10389359.645428352,IS
2022-08-11,10389359.645428352,IS
2022-08-12,10389359.645428352,IS
2022-08-15,10364514.845779108,IS
2022-08-16,10271500.197341608,IS
2022-08-18,10561094.040983247,IS
2022-08-19,10561094.040983247,IS
2022-08-22,10561094.040983247,IS
2022-08-23,10561094.040983247,IS
2022-08-24,10561094.040983247,IS
2022-08-25,10561094.040983247,IS
2022-08-26,10561094.040983247,IS
2022-08-29,10561094.040983247,IS
2022-08-30,10561094.040983247,IS
2022-08-31,10561094.040983247,IS
2022-09-01,10561094.040983247,IS
2022-09-02,10561094.040983247,IS
2022-09-05,10561094.040983247,IS
2022-09-06,10561094.040983247,IS
2022-09-07,10561094.040983247,IS
2022-09-08,10561094.040983247,IS
2022-09-09,10561094.040983247,IS
2022-09-12,10561094.040983247,IS
2022-09-13,10561094.040983247,IS
2022-09-14,10561094.040983247,IS
2022-09-15,10561094.040983247,IS
2022-09-16,10561094.040983247,IS
2022-09-19,10561094.040983247,IS
2022-09-20,10561094.040983247,IS
2022-09-21,10561094.040983247,IS
2022-09-22,10561094.040983247,IS
2022-09-23,10535824.926528456,IS
2022-09-26,10691634.91726956,IS
2022-09-27,10691634.91726956,IS
2022-09-28,10691634.91726956,IS
2022-09-29,10691634.91726956,IS
2022-09-30,10691634.91726956,IS
2022-10-03,10691634.91726956,IS
2022-10-04,10691634.91726956,IS
2022-10-05,10691634.91726956,IS
2022-10-06,10691634.91726956,IS
2022-10-07,10666538.876725772,IS
2022-10-10,10798644.47002156,IS
2022-10-11,10798644.47002156,IS
2022-10-12,10798644.47002156,IS
2022-10-13,10798644.47002156,IS
2022-10-14,10798644.47002156,IS
2022-10-17,10798644.47002156,IS
2022-10-18,10798644.47002156,IS
2022-10-19,10798644.47002156,IS
2022-10-20,10798644.47002156,IS
2022-10-21,10798644.47002156,IS
2022-10-24,10798644.47002156,IS
2022-10-25,10798644.47002156,IS
2022-10-26,10798644.47002156,IS
2022-10-27,10798644.47002156,IS
2022-10-28,10798644.47002156,IS
2022-10-31,10798644.47002156,IS
2022-11-01,10798644.47002156,IS
2022-11-02,10798644.47002156,IS
2022-11-03,10798644.47002156,IS
2022-11-04,10798644.47002156,IS
2022-11-07,10798644.47002156,IS
2022-11-08,10798644.47002156,IS
2022-11-09,10798644.47002156,IS
2022-11-10,10798644.47002156,IS
2022-11-11,10798644.47002156,IS
2022-11-14,10798644.47002156,IS
2022-11-15,10798644.47002156,IS
2022-11-16,10798644.47002156,IS
