entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2018-03-06,2018-03-19,3185.516034301758,3329.742255004883,3207.318399994496,3100,13,398404.2118651569,4.527562226970194,signal,1.5
2018-06-22,2018-06-27,2642.651231689453,2530.3871275877345,2531.6529540647666,3900,5,-486030.7300365381,-4.24816195022254,stop_loss,1.5
2018-10-05,2018-10-16,2455.1664228515624,2586.4963880615237,2467.423235932372,4000,11,476657.2379246596,5.349126804097759,signal,1.5
2019-03-13,2019-03-14,3071.189612548828,3148.3903493652347,3065.6553420716696,3300,1,205375.97698003612,2.5137079293628073,signal,1.5
2019-05-03,2019-05-06,3303.3144060058594,3203.911415817098,3205.5141729035495,3200,3,-367906.0181313362,-3.0091894979186296,stop_loss,1.5
2019-05-07,2019-05-09,3196.180055053711,3081.0822444891664,3082.6235562673,3100,2,-403327.6426523123,-3.6011053376844293,stop_loss,1.5
2019-07-23,2019-07-29,3153.9377530517577,3056.333982476056,3057.8629139330224,3100,6,-348624.82465261035,-3.0946638208461774,stop_loss,1.5
2020-01-08,2020-01-10,2715.129102905273,2822.007723876953,2734.183687081173,3400,2,318022.5811415184,3.936410274462321,signal,1.5
2020-01-31,2020-02-14,2632.852389404297,2748.946128417969,2659.2054337487803,3700,14,381541.690095149,4.409428324993914,signal,1.5
2020-05-14,2020-05-29,1333.6390204467773,1441.449690979004,1332.0997836978158,7600,15,768333.7974004932,8.083946921117334,signal,1.5
2020-08-03,2020-08-11,1672.6998235473632,1798.9894595947267,1729.0175452157716,6500,8,766313.8401736896,7.550047789180492,signal,1.5
2021-03-30,2021-04-09,2185.058291748047,2275.4918118896485,2174.1248060520625,5300,10,422319.81060384214,4.138723460290605,signal,1.5
2021-05-03,2021-05-18,2116.426336669922,2075.122161265698,2076.160241386391,5700,15,-292656.4663559329,-1.9515999535903328,stop_loss,1.5
2021-05-19,2021-06-02,1993.0472951660156,2104.82987109375,2006.4346712892548,5900,14,601161.4987004083,5.608626358183,signal,1.5
2021-06-18,2021-06-28,1875.362627746582,1785.4273080679482,1786.320468302099,6600,10,-651263.235907346,-4.795622902366315,stop_loss,1.5
2022-10-14,2022-10-20,3257.3810504150388,3476.217320678711,3357.004170041567,3600,6,729238.3777364958,6.718166124156388,signal,1.5
2023-01-05,2023-01-11,3479.695276977539,3367.817537859936,3369.502289004438,3500,6,-448895.4085127916,-3.2151590933209517,stop_loss,1.5
2023-02-22,2023-03-09,3421.700229492187,3534.1536700439456,3432.6703686301335,3500,15,334961.0756540857,3.2864784466653196,signal,1.5
2023-08-01,2023-08-04,3498.6940294189453,3626.1411005859377,3551.007174241317,3500,3,385993.1016178895,3.6427041088859857,signal,1.5
2025-03-21,2025-04-10,3186.262012573242,3596.792989013672,3330.367651050998,4000,20,1576185.5157936048,12.884407334376213,signal,1.5
2025-06-19,2025-07-11,3803.1816463623045,3845.3776188964844,3703.0882002625094,3700,22,88127.82955177873,1.1094913800538508,signal,1.5
2026-03-02,2026-03-04,3959.728875,3824.3077178003764,3826.2208282144834,3600,2,-554526.483997481,-3.4199603426035896,stop_loss,1.5
2026-05-29,2026-06-03,3701.85,3620.9166772794338,3622.7280413000835,3700,5,-364329.7355133034,-2.186293953579055,stop_loss,1.5
2026-06-04,2026-06-05,3421.71,3254.1945325521647,3255.8224437740514,3900,1,-715470.134309724,-4.89566525064472,stop_loss,1.5
