entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2018-03-13,2018-03-27,7070.233545410156,6910.801425684259,6914.25855496174,1400,14,-270069.64263532497,-2.254976709070622,stop_loss,1.5
2018-03-29,2018-04-23,6705.580118408203,6779.830556884766,6622.557139965264,1400,25,58587.658691268414,1.1072932865678675,signal,1.5
2018-08-14,2018-08-21,6768.7054152832025,7256.716506347657,6983.042122214968,1400,7,635748.5020698104,7.209814301602835,signal,1.5
2019-03-25,2019-03-27,7809.716383300781,7665.4759181915015,7669.31057347824,1300,2,-235701.4483203981,-1.8469360221288311,stop_loss,1.5
2019-10-10,2019-11-01,9645.373987792967,9783.00448828125,9476.094332391182,1000,22,90933.57689546049,1.426906832876229,signal,1.5
2020-02-12,2020-02-26,9055.699415039062,9143.912225884747,9148.486469119307,1100,14,48938.60015225224,0.9741137244373199,stop_loss,1.5
2020-05-26,2020-05-27,7539.396720703125,7107.611936473173,7111.167520233289,1300,1,-606738.2263995782,-5.7270468742449125,stop_loss,1.5
2020-05-28,2020-06-17,7012.902648193359,7531.861091796875,7134.552300451148,1300,20,628928.990827458,7.4000520132303516,signal,1.5
2021-01-29,2021-02-02,7845.1930971679685,8181.850387695313,7891.156284812132,1300,4,387431.27477393113,4.291255630774393,signal,1.5
2021-02-08,2021-02-18,7845.1930971679685,7560.099013583378,7563.880954060408,1300,10,-418501.508891182,-3.633997022807589,stop_loss,1.5
2021-07-30,2021-08-18,7004.636798583984,7191.415677001954,6945.538718232617,1400,19,213660.9482522942,2.6665034003722665,signal,1.5
2021-11-30,2021-12-01,7473.298258300781,7885.504982177735,7631.446915067078,1400,1,525195.2898330148,5.515726920427744,signal,1.5
2022-01-20,2022-01-25,7539.629258789062,7730.888481445313,7537.156773039016,1400,5,216320.0906557031,2.5367191952216706,signal,1.5
2022-07-29,2022-08-29,7804.953749267578,8012.808974121094,7857.542592653014,1400,31,237704.1333869379,2.663119238509526,signal,1.5
2022-08-31,2022-09-16,7522.355489501952,7831.728173095704,7613.230293576277,1500,16,408552.2946925815,4.112710227873517,signal,1.5
2023-03-01,2023-03-15,8972.447849121094,8724.429170383464,8728.793567167048,1300,14,-377477.32651859336,-2.764225358656436,stop_loss,1.5
2023-10-19,2023-10-26,9606.686685058594,9543.611323083653,9548.385515841574,1100,7,-119904.9934648443,-0.6565776947117796,stop_loss,1.5
2024-04-16,2024-04-25,9307.197171386719,9850.245265136718,9338.42321471413,1200,9,596158.4494265616,5.834711393237724,signal,1.5
2025-06-19,2025-06-23,9818.541583007813,9456.148380832326,9460.878820242448,1200,4,-490165.5137851387,-3.690906629174462,stop_loss,1.5
2026-06-05,2026-06-08,6206.278346191406,5904.534400653227,5907.488144725589,1800,3,-595186.2434841078,-4.861914479284513,stop_loss,1.5
