entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2018-02-22,2018-02-28,18045.746879882812,17907.600068657208,17916.558347831124,500,6,-112182.88524824381,-0.7655366782275408,stop_loss,1.5
2018-06-20,2018-06-27,17129.433483398436,16557.425558857765,16565.708413064298,500,7,-326285.19113990944,-3.3393277430631363,stop_loss,1.5
2018-09-05,2018-09-21,16592.538216796875,17010.152778320313,16330.745995797704,500,16,168379.64792719763,2.516881721572184,signal,1.5
2018-11-26,2018-11-28,15866.337407226561,15021.460721634301,15028.975209238919,600,2,-551150.9776552394,-5.324963562210949,stop_loss,1.5
2020-01-23,2020-01-31,11072.83150048828,10591.35038214926,10596.64870650251,800,8,-426587.5314385444,-4.3483107127367475,stop_loss,1.5
2020-05-15,2020-05-29,7753.702062011718,8534.138022949219,7962.563667118165,1100,14,815050.4194284361,10.065333368445351,signal,1.5
2021-01-25,2021-01-29,13923.297036621094,13138.651199269154,13145.223811174741,600,4,-509521.31411964074,-5.635488744427142,stop_loss,1.5
2021-03-10,2021-03-26,12172.119150878905,12561.461244628907,11987.436114839837,700,16,230850.78082773462,3.198638535524756,signal,1.5
2021-06-28,2021-07-09,11967.783635742187,11609.439027870145,11615.246651195743,700,11,-290325.5389725445,-2.994243702750732,stop_loss,1.5
2022-11-02,2022-11-10,19282.663857421874,18796.30419552337,18805.707049047895,400,8,-231002.40215784963,-2.5222638609203596,stop_loss,1.5
2022-11-11,2022-11-29,18214.89391113281,19263.390830078126,18577.31390015657,400,18,383209.91484277416,5.7562614641663234,signal,1.5
2023-10-04,2023-10-23,20839.5395625,20724.999317223177,20735.367000723538,400,19,-85695.14738620725,-0.5496294432672189,stop_loss,1.5
2024-06-14,2024-07-01,18288.0300703125,19044.44371777344,18495.809851921,400,17,266575.0014183214,4.13611331867203,signal,1.5
2024-11-14,2024-11-22,22946.041505859375,23827.673953125002,23082.33297515456,400,8,307573.88557617366,3.842198433400812,signal,1.5
2025-02-10,2025-02-19,21311.769700195313,22239.161965820313,21398.44596454543,400,9,328962.5333974995,4.351549771188168,signal,1.5
2025-02-25,2025-02-28,20759.650028320313,19825.163112080194,19835.080652406396,400,3,-412569.28972758446,-4.5014579483049655,stop_loss,1.5
2025-04-08,2025-04-15,17756.127533203125,20143.210465820313,18911.9224574143,500,7,1147465.489976611,13.443713603393848,signal,1.5
2025-06-23,2025-07-03,19743.69699316406,20290.201386718752,19739.34944402191,500,10,225074.89262309857,2.767994229975823,signal,1.5
2026-05-08,2026-05-19,27413.699999999997,26048.21155679531,26061.24217788425,300,11,-447934.2860158179,-4.981043942279539,stop_loss,1.5
