entry_date,exit_date,entry_price,exit_price,shares,hold_days,pnl,pnl_pct
2021-04-12,2021-04-22,3386.8126772460937,3633.435059204102,2900,10,665986.3809786905,7.281843002859656
2021-06-28,2021-07-22,3193.7486641845703,3373.4552508544925,3300,24,540722.9651356284,5.626823071119946
2021-12-01,2022-01-13,3861.6293126220703,3943.1185189208986,2800,43,175607.78731993213,2.110228603052966
2022-07-06,2022-07-29,4261.238441162109,4432.163668945313,2600,23,389936.56027314067,4.011163189839939
2022-12-07,2023-01-18,4070.6341534423827,4013.2914227294923,2800,42,-214803.34604497254,-1.4086928117673758
2023-07-20,2023-07-31,5062.89785961914,5309.760783691407,2200,11,488059.2461058255,4.875921476536305
2023-11-30,2023-12-01,4258.973637451171,4530.485577148438,2800,1,700788.1485146619,6.375055654482886
2024-01-17,2024-02-22,4258.973637451171,4156.227487304688,2900,36,-356384.65333538875,-2.4124626938985427
2024-04-19,2024-05-02,3864.6234847412106,4077.4365802001957,3100,13,600301.8087417278,5.506696740296713
2024-05-30,2024-06-05,3715.391191040039,3952.2492052001953,3400,6,742346.6438871399,6.375049139680322
