entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2018-02-22,2018-03-05,4858.860833496094,4945.016001220703,4828.673930036807,2000,11,125165.57147485204,1.7731556979502683,signal,1.5
2018-03-07,2018-03-14,4752.572364257812,4617.135919262967,4619.445642084009,2100,7,-331497.6559708752,-2.8497502955117215,stop_loss,1.5
2018-05-17,2018-05-22,4158.794666748046,4293.640191894531,4122.32295649711,2300,5,263332.1950632911,3.2424184397621847,signal,1.5
2018-06-21,2018-06-27,4127.874429199219,4007.743383075361,4009.748257203963,2400,6,-335031.51204061136,-2.9102398385495998,stop_loss,1.5
2018-08-14,2018-08-20,4220.6351418457025,4571.646138916016,4349.224391240361,2200,6,725414.8362954892,8.316544436409501,signal,1.5
2018-09-05,2018-09-10,4189.714904296875,4432.642921386719,4220.221969197917,2400,5,533070.9463191796,5.798199224503375,signal,1.5
2018-12-06,2018-12-13,5051.950005615234,5264.9755703125,5070.36932725835,2100,7,395132.7041186504,4.216699778511046,signal,1.5
2019-02-12,2019-02-28,4771.285329345703,4732.5114664595485,4734.878905912505,2300,16,-141596.25300868042,-0.81265026527918,stop_loss,1.5
2019-11-26,2019-12-02,4080.6359780273433,4269.150489746094,4126.116324045482,2700,6,454628.07073863223,4.61973360853134,signal,1.5
2020-01-31,2020-02-10,4080.6359780273433,4015.67038024048,4017.679219850405,2800,10,-236219.90069387667,-1.592045900116501,stop_loss,1.5
2020-08-31,2020-09-02,3383.6062408447265,3512.7820369873048,3363.9642471555244,3300,2,371447.5920464415,3.8176958826724894,signal,1.5
2020-09-10,2020-09-17,3025.342481689453,3221.155218261719,3055.7798634586625,3900,7,704820.6193239763,6.47241552840383,signal,1.5
2021-04-12,2021-04-16,3386.812921508789,3500.0979525146486,3353.15287040592,3600,4,348119.2886137217,3.3448859925629515,signal,1.5
2022-01-20,2022-02-03,3776.194526733398,3755.3508774414063,3699.5197297488726,3400,14,-132290.38388704322,-0.55197498816415,signal,1.5
2022-02-14,2022-02-15,3622.4130845947266,3755.3508774414063,3621.213752263043,3500,1,403076.4165447932,3.6698683927582243,signal,1.5
2022-09-07,2022-09-12,4664.565492187499,4887.642358642578,4715.569874842723,2800,5,560112.0817036051,4.782371837820731,signal,1.5
2023-08-18,2023-09-01,5062.898836669921,5077.216957519531,4943.7003555455885,2700,14,-27068.35351554863,0.28280479842706097,signal,1.5
2023-10-04,2023-10-16,4713.733130126953,4611.613588999866,4613.920549274503,2800,12,-348458.0777508002,-2.1664260217535314,stop_loss,1.5
