entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2018-04-30,2018-05-02,3605.7274998779294,3732.516597167969,3627.5174055574803,2700,2,294607.5756529067,3.5163249938974017,signal,2.0
2018-06-20,2018-06-25,3507.8345837402344,3618.4223056640626,3487.8839622320634,2900,5,270945.2934320569,3.152592269784682,signal,2.0
2018-07-03,2018-07-09,3360.9945988769528,3569.5251356201175,3402.8666261586563,3100,6,594558.3747471999,6.204429391610544,signal,2.0
2018-09-12,2018-09-26,3899.406736816406,3944.407424926758,3792.25793187638,2800,14,73228.49457871728,1.1540393487418532,signal,2.0
2018-10-05,2018-10-11,3760.7246374511715,3720.650435091911,3722.511690937379,2900,6,-168227.44975333475,-1.0655978893052143,stop_loss,2.0
2018-12-18,2018-12-19,4145.429100585938,4276.194329345703,4102.139936814963,2600,1,287268.6697752308,3.1544437400046865,signal,2.0
2019-02-14,2019-02-18,4403.240070556641,4480.601352050781,4342.739572760119,2500,4,140003.45359783806,1.7569171849483256,signal,2.0
2019-05-14,2019-05-16,4538.472692138672,4392.5765449649,4394.773931930865,2500,2,-418144.29317308404,-3.2146529696319703,stop_loss,2.0
2019-05-17,2019-05-22,4278.305564208984,4505.058355712891,4325.421152765897,2500,5,513898.3542508576,5.300060692271558,signal,2.0
2019-09-24,2019-09-26,4910.140855224609,5000.119295166016,4871.250731606864,2300,2,152142.30062914453,1.8325022151995052,signal,2.0
2020-02-27,2020-03-04,5211.525847412109,5330.4740546875,5086.294341712254,2200,6,205893.45349477045,2.2824065495992363,signal,2.0
2020-04-24,2020-04-30,4146.894188232422,4353.253924804688,3953.508925713182,2800,6,520397.363451533,4.976247938947909,signal,2.0
2020-05-15,2020-05-27,4033.1073427734373,4180.639591552735,3831.8802203381256,3000,12,383236.4700375721,3.6580293119062857,signal,2.0
2020-09-10,2020-09-18,4897.043000976562,4772.033539671898,4774.420750046922,2600,8,-385197.1247060746,-2.5527540044009145,stop_loss,2.0
2020-11-30,2020-12-03,5229.9750087890625,5439.463966064453,5199.392190494007,2300,3,422688.38629134,4.0055441359345245,signal,2.0
2021-01-26,2021-02-05,5765.749109619141,5840.220518798828,5527.6943451396455,2200,10,102475.66200716794,1.2916172341846277,signal,2.0
2021-02-18,2021-03-01,5693.889467285156,5950.01617944336,5676.887736973816,2200,11,501717.20554994605,4.498273344254522,signal,2.0
2021-03-24,2021-04-09,5444.490416015625,5309.752975097656,5190.483271769327,2400,16,-385152.6152068339,-2.474748426806339,signal,2.0
2021-06-28,2021-07-12,5190.762052734374,5284.061237548828,5111.534581412543,2500,14,170282.39831341617,1.7974082392258062,signal,2.0
2022-04-06,2022-04-21,6768.290168701172,6914.204254394532,6684.084467693275,1900,15,214705.96986665763,2.1558485534221905,signal,2.0
2022-05-12,2022-05-27,6353.459321777344,6608.844803466797,6296.755531976818,2100,15,470711.34400084615,4.0196288156608695,signal,2.0
2022-07-04,2022-07-18,6156.96024243164,6238.051777099609,6088.894468391189,2200,14,112866.51211827248,1.3170709485683219,signal,2.0
2022-10-07,2022-10-20,7161.287838867187,7415.865895751954,7128.294781642801,1900,13,416984.63789715245,3.554920045289478,signal,2.0
2022-11-16,2022-11-18,7510.618666992187,7699.41448022461,7409.980355257547,1900,2,289174.93796772324,2.5137185310997845,signal,2.0
2022-12-07,2022-12-19,7408.42892578125,7576.197311035156,7296.547601555094,1900,12,250270.6563765481,2.2645609067001304,signal,2.0
2023-01-04,2023-01-11,7320.756205078124,7131.714917968709,7135.282559248333,2000,7,-447265.3943223469,-2.5822644794302074,stop_loss,2.0
2023-03-03,2023-03-13,7430.348571533203,7488.611243164063,7262.673641560318,1900,10,42613.269805563614,0.7841176099607772,signal,2.0
2023-03-14,2023-03-21,7298.837536376953,7444.818209228516,7199.225770742165,2000,7,221045.81745136715,2.0000537362834026,signal,2.0
2023-05-11,2023-05-19,7891.859973632812,8040.310353271485,7800.017660955966,1800,8,198250.10219570994,1.881056938854142,signal,2.0
2023-09-08,2023-09-20,8160.138577148437,8174.317046875,8005.570022356186,1800,12,-45056.363410722464,0.1737528056970472,signal,2.0
2023-09-26,2023-10-02,8003.642399414062,8107.312968017579,7923.1793858443425,1800,6,116914.39278728142,1.2952923610268563,signal,2.0
2023-10-19,2023-10-20,7824.789834228515,8017.975822998047,7798.846659489094,1900,1,294626.8405758273,2.468896837643686,signal,2.0
2023-11-01,2023-11-02,7690.650043945312,7906.305611816407,7649.550422244071,2000,1,356230.09302666225,2.8041266555988376,signal,2.0
