entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2018-03-15,2018-03-20,2442.198027832031,2370.4040181864134,2371.58981309296,4000,5,-333233.4302049596,-2.9397292450256463,stop_loss,1.5
2018-07-31,2018-08-13,2320.884960205078,2256.4333138601546,2257.5620949076083,4100,13,-309160.43595598266,-2.777028911386825,stop_loss,1.5
2018-12-07,2019-01-07,2385.895720825195,2448.457287841797,2388.666628369029,3900,31,198618.57214794122,2.6221417168628136,signal,1.5
2019-05-16,2019-05-27,2340.3881151123046,2480.929568969727,2390.2561980020228,4000,11,515600.08275478706,6.00504903224901,signal,1.5
2019-10-08,2019-10-22,2771.901615600586,2863.917666625977,2790.660765560491,3600,14,282398.67620112374,3.319600180162019,signal,1.5
2019-11-01,2019-11-12,2765.12405859375,2830.0654605712893,2756.2950156969687,3700,11,190477.76279305108,2.3485890904499485,signal,1.5
2019-11-18,2019-11-25,2710.90580090332,2675.067188781087,2676.4053914768256,3800,7,-185238.70636737347,-1.3220161360933624,stop_loss,1.5
2019-11-26,2019-12-06,2616.0239110107423,2775.901150024414,2687.5538261741003,3900,10,572741.052965954,6.111459392276752,signal,1.5
2020-01-17,2020-01-31,2582.1378358154298,2587.9114322803734,2589.2060352980225,4200,14,-27877.11602221802,0.22359753166005802,stop_loss,1.5
2020-02-04,2020-02-14,2548.2515163574217,2518.4475280937186,2519.707381784611,4200,10,-176186.4887002688,-1.1695858149161853,stop_loss,1.5
2020-02-17,2020-02-26,2446.5928022460935,2427.6781500177885,2428.8925963159463,4300,9,-131594.81430678256,-0.7731017687512387,stop_loss,1.5
2020-06-12,2020-06-17,2053.5111057128906,2173.327587524414,2053.5071064283256,5100,5,559022.0196049251,5.834713115414503,signal,1.5
2020-08-03,2020-08-18,2079.722202758789,2170.141193237305,2102.2374851437307,5300,15,424922.7768142931,4.347647505930041,signal,1.5
2020-08-31,2020-09-09,2036.9881999511717,2031.1956659254192,2032.2117718113248,5600,9,-87098.36260632426,-0.28436757885447195,stop_loss,1.5
2020-09-10,2020-09-24,1923.0306148681639,1974.1350486647596,1975.1226099697444,5900,14,246181.53552458808,2.6574945506054437,stop_loss,1.5
2020-11-02,2020-11-05,1823.3180637817381,1970.9150504760744,1882.8843112181291,6400,3,885868.9838513304,8.094966513313961,signal,1.5
2021-01-29,2021-02-23,2215.0464228515625,2468.9802243652343,2349.3923180817433,5600,25,1358364.9556937292,11.464039710136987,signal,1.5
2021-04-27,2021-05-20,2250.657725463867,2355.136783935547,2290.2477130912507,6200,23,578912.055143293,4.64215670333199,signal,1.5
2021-07-02,2021-07-22,2296.8106732177735,2436.5206322021486,2350.4042039785627,6300,20,808164.6858928129,6.082780814869904,signal,1.5
2022-10-11,2022-10-24,3342.4543275146484,3416.586994506836,3305.1733695867742,4500,13,260432.55668628216,2.217911143375617,signal,1.5
2022-11-02,2022-11-14,3272.6582164306637,3190.627401750587,3192.2235135073406,4700,12,-458257.9183549471,-2.5065500047708578,stop_loss,1.5
2023-05-12,2023-05-29,3086.535660644531,3253.892747558594,3147.7994998058957,4900,17,745076.2629354969,5.422165991729222,signal,1.5
2023-07-27,2023-08-24,3006.313440673828,3016.1190776235426,3017.627891569327,5200,28,-24196.140345904976,0.3261681505677183,stop_loss,1.5
