entry_date,exit_date,entry_price,exit_price,shares,hold_days,pnl,pnl_pct
2021-10-28,2021-10-29,6322.356375732422,6401.678906982423,1500,1,73117.7779587917,1.2546355588949565
2021-11-02,2021-11-05,6258.061060546875,6380.268718994141,1600,3,146903.30103543028,1.9528038679217818
2021-11-15,2021-11-17,6429.514420166015,6509.089042236328,1500,2,72723.2796742674,1.2376459071423707
2021-11-25,2021-12-02,6386.579877685546,6444.641789794922,1600,7,43580.71864219196,0.9091237128692642
2021-12-16,2021-12-17,6257.557879394531,6444.641789794922,1600,1,250408.1427826211,2.9897272067820335
2022-01-31,2022-02-02,6558.608231689453,6702.428359375001,1600,2,179074.76768504083,2.19284522881924
2022-03-04,2022-03-09,6795.149294677734,6745.392218261719,1500,5,-123344.24626329355,-0.7322440502519512
2022-03-18,2022-03-24,6795.149294677734,6809.839958740235,1500,6,-26952.983216602355,0.2161933965749263
2022-04-06,2022-04-08,6768.289680175781,6848.77019091797,1500,2,71638.99019428901,1.1890819475105285
2022-04-19,2022-04-21,6659.123307861328,6914.204254394532,1600,2,355803.8718568403,3.8305484782369392
2022-05-09,2022-05-18,6637.291108154296,6608.845779541016,1600,9,-96354.93516710773,-0.42856834437069447
2022-06-07,2022-06-08,6440.791540283203,6630.657134033204,1600,1,253438.69461562485,2.9478611838701374
2022-09-23,2022-09-29,7314.120076171875,7306.809611328125,1500,6,-63595.561291992664,-0.09995002498749406
2022-10-07,2022-10-12,7161.286861816406,7263.18690234375,1500,5,100845.5302096419,1.4229291814948697
2022-11-16,2022-11-18,7510.619155517577,7699.41448022461,1400,2,213075.5848464556,2.5137118631336275
2022-12-06,2022-12-12,7605.695967041015,7619.989856933594,1500,6,-33382.35454486124,0.1879366458312326
2022-12-15,2022-12-19,7452.266751708984,7576.198775146485,1500,4,131702.6102419924,1.6630111020795146
2023-01-04,2023-01-09,7320.7566936035155,7401.025663330079,1500,5,67344.83637758903,1.0964572801155592
2023-01-25,2023-01-26,7189.245658447266,7422.921448242188,1600,1,317583.6013503503,3.250351996531875
2023-02-16,2023-02-23,7627.613658691406,7641.886617919922,1500,7,-33571.4668724481,0.18712220973924332
2023-03-01,2023-03-08,7539.940937988281,7510.507516113282,1500,7,-98309.67218085937,-0.3903667431492175
2023-03-16,2023-03-17,7276.9193562011715,7335.335868408203,1600,1,37308.62625898421,0.802764320278615
2023-05-03,2023-05-08,7981.285034912109,8040.310353271485,1400,5,28761.567475978285,0.7395465529821843
2023-05-09,2023-05-17,7981.285034912109,7839.3039731445315,1400,8,-251831.27879844233,-1.778924836621143
2023-06-15,2023-06-20,8093.067949218749,8084.978925781251,1400,5,-65677.20799609087,-0.09995002498748295
2023-07-24,2023-07-25,8137.781212646484,8174.314606689453,1400,1,-3687.463668640703,0.4489355647236515
2023-08-18,2023-08-22,8271.921002929686,8308.32130029297,1300,4,-4433.629607073963,0.4400464819525052
2023-09-06,2023-09-19,8182.493010498047,8107.313944091798,1400,13,-159931.81898968667,-0.918779476008047
2023-09-25,2023-10-02,8048.354685791015,8107.313944091798,1400,7,28218.64354387857,0.7325628728176214
2023-10-10,2023-10-12,7981.285034912109,8084.978925781251,1400,2,91116.21458526142,1.2992129765515115
2023-10-18,2023-10-20,7914.216361083984,8017.9772871093755,1400,2,91660.49312940054,1.3110701210496067
2024-01-23,2024-01-29,8625.87328125,8572.36889794922,1300,6,-123179.43604097143,-0.6202778728164549
2024-02-26,2024-02-27,8805.578323242187,8864.099912597656,1300,1,20910.63103320636,0.6645967727185065
2024-03-04,2024-03-06,8760.65157421875,8931.421703613281,1300,2,166690.89900194854,1.949285711773796
2024-04-01,2024-04-04,9054.45465234375,9045.40472265625,1200,3,-62982.08066718653,-0.09995002498749406
2024-04-22,2024-04-23,8594.837263183594,8930.615466308594,1300,1,381613.99571445584,3.906742999815993
2024-05-08,2024-05-16,8617.818474609374,8815.826209960938,1300,8,202888.37951319478,2.297654980027186
2024-07-16,2024-07-18,9146.377543945311,9274.983235351563,1300,2,109629.15949730761,1.406083345984177
2024-08-05,2024-08-08,9077.435863769531,9389.773467773439,1300,3,348218.17264806107,3.440813118278596
2024-08-27,2024-08-28,9376.186727050781,9504.561748046875,1300,1,107896.14828897081,1.369160243211942
2024-09-30,2024-10-04,9491.091807128905,9619.351980468751,1300,4,107030.27161182463,1.3513742775463244
2024-10-07,2024-10-09,9468.109618652343,9573.435497070313,1300,2,77445.55936133489,1.112427745982969
