entry_date,exit_date,entry_price,exit_price,shares,hold_days,pnl,pnl_pct
2021-11-11,2021-11-16,2730.7352907714844,2742.954252807617,3600,5,-3326.4084581118077,0.4474605091685957
2021-12-30,2022-01-03,3022.5126983642576,3124.1275844726565,3300,4,286480.0685555674,3.3619341339208075
2022-02-02,2022-02-04,3119.7719970703124,3161.497562011719,3200,2,85214.89669484459,1.3374555890811823
2022-02-22,2022-02-23,3217.0310515136716,3251.1856057128907,3200,1,59564.022223282605,1.061679345095179
2022-04-05,2022-04-07,3381.6235605468746,3393.1912275390628,3000,2,-14093.016998143867,0.34207435526376617
2022-05-09,2022-05-18,3224.5125736083983,3176.4458946533205,3200,9,-202895.82700617053,-1.4906649565732288
2022-05-23,2022-05-25,3074.883108764648,3139.075917114258,3300,2,162515.79393497482,2.0876503619482234
2022-06-09,2022-06-13,3140.821334838867,3160.924362426758,3200,4,15900.116482108831,0.6400563879550347
2022-08-15,2022-08-18,3451.0259201660156,3525.0503138427734,3000,3,171734.39555489458,2.1449967455821506
2022-09-23,2022-09-26,3396.740001708984,3455.3242080078126,3100,3,130540.87628631294,1.7247185910417961
2022-10-07,2022-10-10,3373.4749570312497,3424.3343395996094,3100,3,107009.55275200121,1.5076259114464419
2023-05-03,2023-05-10,3218.372542236328,3199.6608438720705,3300,7,-112548.55471772887,-0.5814024982718657
2023-07-10,2023-07-11,3192.187581298828,3213.2170506591797,3300,1,18631.745579607785,0.658779248548913
2024-01-18,2024-01-22,3192.187581298828,3213.2170506591797,3300,4,18631.745579607785,0.658779248548913
2024-02-27,2024-03-13,3224.5135506591796,3148.6299755859377,3300,15,-300765.88657068834,-2.353334041896926
