entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult,fold
2021-03-09,2021-03-24,5583.984444580078,5521.063435246255,5523.825347920215,1700,15,-152220.82835925557,-1.1268120453826747,stop_loss,1.5,1
2021-03-31,2021-04-14,5254.272307617187,5399.676740722656,5203.514106457643,1800,14,215572.05571122095,2.767356250163777,signal,1.5,1
2022-04-19,2022-04-21,6659.123796386719,6914.204254394532,6742.670440890763,1400,2,311327.70263970643,3.830540861039733,signal,1.5,2
2022-05-12,2022-05-31,6353.459810302734,6761.524772949219,6529.091168128365,1600,19,602215.9474645741,6.422720452009001,signal,1.5,2
2023-03-07,2023-03-14,7386.51172265625,7324.1919659472,7327.855893894146,1300,7,-126872.57138834707,-0.8436967143489404,stop_loss,1.5,3
2023-03-15,2023-03-24,7298.837047851562,7729.473173828125,7530.3670749334815,1300,9,512658.7223960068,5.900064943953276,signal,1.5,3
2023-09-15,2023-09-25,8048.353708740234,8044.753258787279,8048.777647611084,1200,10,-50666.52774005383,-0.044735235095894055,stop_loss,1.5,3
2023-09-27,2023-10-02,7936.573725585937,8107.312479980469,7970.2261955352915,1200,5,158577.66974877194,2.1512904724126036,signal,1.5,3
2023-10-19,2023-10-24,7824.789345703124,7850.704516331785,7854.631832247909,1300,5,-15234.663893196732,0.33119320512944306,stop_loss,1.5,3
2024-04-03,2024-04-16,8755.702812011717,8783.446868041103,8787.84078843532,1100,13,-15800.152753831819,0.3168684070834926,stop_loss,1.5,4
2024-04-18,2024-04-24,8709.741366210937,9137.236713378907,8843.218190234926,1100,6,422893.7373137064,4.908243875374052,signal,1.5,4
2024-05-29,2024-06-05,8410.990502929688,8678.078711914062,8367.189575375434,1200,7,271129.07851710916,3.1754667763724598,signal,1.5,4
2024-10-31,2024-11-07,9422.148172851563,9372.338409276925,9377.026922738294,1100,7,-104380.78913895413,-0.5286455133252654,stop_loss,1.5,4
2024-11-08,2024-11-25,9261.281646972655,9390.460624023439,9127.255938185583,1100,17,92785.22672305629,1.394828296718642,signal,1.5,4
2024-12-19,2025-01-07,8937.945254882812,8868.265401693596,8872.701752569881,1100,19,-123617.9107222464,-0.7795958825228877,stop_loss,1.5,4
2025-03-18,2025-03-26,7667.695212890624,8109.764866455079,7719.101135876278,1300,8,525177.5289114136,5.765352446733463,signal,1.5,5
2025-04-08,2025-04-14,7403.6960917968745,7990.853648681641,7507.325217732513,1400,6,769883.8822208457,7.930600467722115,signal,1.5,5
2025-07-31,2025-08-11,7879.817822753906,8133.547402832031,7941.837952993215,1400,11,301238.8942453526,3.219992971734098,signal,1.5,5
2025-09-01,2025-09-08,7617.951114990234,7365.012511910818,7368.696860340988,1500,7,-433156.8697236553,-3.320297009804851,stop_loss,1.5,5
2025-12-10,2025-12-15,7740.2006857910155,7947.9195600585945,7710.275038182175,1400,5,237948.9367365688,2.6836368034862,signal,1.5,5
2026-01-21,2026-01-28,7380.748588623046,7154.358211623321,7157.937180213427,1500,7,-391742.157197725,-3.0673091527421925,stop_loss,1.5,5
2026-06-03,2026-06-05,5527.7625,5269.196376627608,5271.832292773995,1800,2,-511829.17490630224,-4.677591039274787,stop_loss,1.5,6
2026-06-08,2026-06-11,4852.425,5822.087500000001,5471.536905114692,1900,3,1792761.7936250027,19.983049712257284,signal,1.5,6
