entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult,fold
2021-04-23,2021-05-11,2174.478297363281,2093.0801777377224,2094.1272413584015,4500,18,-412198.0240769461,-3.7433401714912495,stop_loss,2.0,1
2021-06-28,2021-07-21,2015.3703407592773,2092.830502685547,1997.214631876904,4700,23,317540.2241588831,3.8434703716581975,signal,2.0,1
2022-07-01,2022-07-20,2815.2724112548826,2923.4764953613285,2755.4837580651224,3500,19,330319.44640979916,3.8434676400716405,signal,2.0,2
2023-10-18,2023-11-02,4555.254027832031,4589.596143798828,4377.429757307747,2100,15,25992.339443488047,0.7539012260780797,signal,2.0,3
2023-12-06,2023-12-14,4516.320508300781,4628.491725341797,4439.218345414734,2200,8,198368.6805578582,2.4836859305014114,signal,2.0,3
2024-05-02,2024-05-17,5177.007620361328,5376.253399658203,4991.806825037789,1900,15,330254.82692244276,3.8486669116196692,signal,2.0,4
2024-09-27,2024-10-15,5770.419412353515,5764.651876708985,5525.626540617602,1700,18,-56862.99904978089,-0.09995002498749406,signal,2.0,4
2024-10-28,2024-11-06,5586.257064697265,5372.0269435924265,5374.714300742798,1800,9,-432761.19779552706,-3.834949208812477,stop_loss,2.0,4
2024-11-07,2024-11-25,5258.857118408203,5376.253399658203,5072.736973510828,1800,18,165263.97215882875,2.2323535058418775,signal,2.0,4
2024-12-18,2025-01-14,4767.7576874999995,4495.347237559111,4497.596035576899,2000,27,-589011.393072119,-5.713596784817487,stop_loss,2.0,4
2025-07-01,2025-07-11,4279.010017822266,4472.720528808594,4237.860877189487,2300,10,397001.85556351766,4.526993631225817,signal,2.0,5
2025-09-01,2025-09-09,4143.88340625,4019.321485646978,4021.332151722839,2500,8,-360228.3284581844,-3.0059224256925754,stop_loss,2.0,5
2025-10-14,2025-10-20,3684.4528780517576,3869.7584887695316,3663.8450184107787,2700,6,451123.6967065204,5.029392880056549,signal,2.0,5
2026-01-28,2026-02-04,4190.83655859375,4590.622485839844,4277.573665683221,2400,7,908425.2781819906,9.53952562111473,signal,2.0,5
2026-06-03,2026-06-05,4052.0249999999996,3846.6211858514234,3848.545458580714,2400,2,-538218.8714101091,-5.069164532513404,stop_loss,2.0,6
2026-06-08,2026-06-09,3711.855,4087.9550000000004,3815.986068761031,2500,1,892981.0150000025,10.132400107224026,signal,2.0,6
