entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult,fold
2021-01-29,2021-02-23,2215.0464228515625,2468.9804683837892,2304.385037870264,4500,25,1091544.3628672287,11.46405072654515,signal,2.0,1
2021-04-27,2021-05-20,2250.6579697265624,2355.136783935547,2268.156045279979,4900,23,457526.0702261459,4.642145346575166,signal,2.0,1
2021-06-30,2021-07-16,2356.6621171875,2369.2549654541017,2248.3047685657543,4800,16,5972.884051818401,0.5343510287181275,signal,2.0,1
2022-07-13,2022-07-15,3055.5150311279294,3215.155778076172,3056.4183764145505,3200,2,462436.21322456934,5.2246755562289415,signal,2.0,2
2022-09-16,2022-10-18,3420.0057791748045,3316.7209706060953,3318.3801606864386,3000,32,-358203.9310916979,-3.02001853908066,stop_loss,2.0,2
2022-11-02,2022-11-14,3272.6584606933593,3148.8792264674166,3150.4544536942635,3000,12,-417387.105174046,-3.7822227926503027,stop_loss,2.0,2
2023-05-12,2023-05-24,3086.5354163818356,3222.9031231689455,3078.6792096455956,3200,12,387701.98540414125,4.41814813020891,signal,2.0,3
2023-07-18,2023-07-27,3111.3725357666012,3060.2049375208994,3061.735805423611,3300,9,-217647.5412621498,-1.6445346115743997,stop_loss,2.0,3
2023-07-28,2023-08-10,3006.313440673828,3067.8957047119143,2965.390766451557,3300,13,155012.12415856495,2.0484312515425263,signal,2.0,3
2024-07-30,2024-08-16,2469.6773367919923,2535.742480834961,2438.511948332105,4000,17,216076.41563457064,2.675051637667969,signal,1.5,4
2024-12-19,2024-12-24,2169.542969604492,2347.27523815918,2236.1966114674715,4600,5,767293.9781201761,8.192152496849992,signal,1.5,4
2025-03-21,2025-03-26,1980.886921142578,2090.2741643066406,1975.1404584996558,5000,5,497808.8146870099,5.522134655771649,signal,1.5,5
2025-10-17,2025-10-21,2664.197155517578,3031.1918978271488,2864.724138949496,3900,4,1377255.0137205143,13.775059460202543,signal,1.5,5
2025-12-19,2026-01-05,3154.483435913086,3308.43504284668,3174.5544931510167,3700,17,511945.41909008473,4.880406255455005,signal,1.5,5
