entry_date,exit_date,entry_price,exit_price,shares,hold_days,pnl,pnl_pct
2024-11-07,2024-11-25,9353.205515624999,9390.45964794922,1000,18,-7749.2911345195025,0.39830336521511356
2024-12-02,2024-12-03,9007.232811035155,9413.533066406251,1100,1,398075.9938513059,4.510822179186036
2024-12-17,2025-01-02,9145.805969238281,9136.664733886719,1100,16,-58316.05386352539,-0.09995002498750516
2025-01-07,2025-01-09,8799.373073730469,9090.518873046876,1100,2,272870.9343189318,3.3087107101480884
2025-01-24,2025-02-07,8637.704389160155,8629.071001464845,1200,14,-60083.19832675718,-0.09995002498748295
2025-02-27,2025-03-04,7875.553973144531,8167.623617919922,1300,5,329445.97885478474,3.7085600044307165
2025-03-14,2025-03-26,8083.413710449218,8109.764866455079,1300,12,-16283.342603728175,0.32599044104097974
2025-06-02,2025-06-17,8665.418434570312,8632.976274414063,1200,15,-88730.50365328044,-0.37438653887529316
2025-06-19,2025-07-11,8355.939553710938,8204.894523925781,1200,22,-228858.6108679101,-1.8076366973965974
2025-07-18,2025-07-24,8022.6548305664055,8085.982330078125,1300,6,32025.63854934275,0.7893583963059392
2025-07-31,2025-08-05,7879.817822753906,8014.6361850585945,1300,5,125585.54255622067,1.7109324775933965
2025-08-26,2025-09-12,7856.011491943359,7538.989849853516,1300,17,-459954.47483584285,-4.035401964660579
2025-10-01,2025-10-17,7141.828895507812,7134.690635742188,1400,16,-57957.67251504026,-0.09995002498750516
2025-11-11,2025-11-17,7998.848499755859,8157.329939208985,1200,6,143552.84457586147,1.9813031770505862
2025-11-27,2025-12-15,7927.4299958496085,7947.9195600585945,1200,18,-21145.823408758268,0.25846414562744613
2026-01-21,2026-02-02,7380.748588623046,7277.613279296876,1300,12,-179742.95320086926,-1.397355675888312
2026-02-13,2026-02-25,6901.479288574218,7014.278703857422,1400,12,111083.2749512177,1.634423731010104
2026-03-02,2026-03-25,6733.734813720703,6607.306998535157,1500,23,-237574.65244105272,-1.8775288704262039
2026-03-27,2026-04-02,6422.2095,6571.712500000001,1500,6,177364.2535500005,2.3279059955923387
2026-04-24,2026-05-07,6053.025,6221.887500000001,1600,13,222909.2460000012,2.7897208420583297
2026-05-19,2026-05-25,5952.974999999999,6096.950000000001,1700,6,195471.42725000158,2.4185386298447575
2026-05-29,2026-06-10,5702.849999999999,5647.175,1800,12,-149197.0004999973,-0.9762662528384758
