entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2025-01-30,2025-02-05,8452.941155273436,8434.89422949137,8439.113786384562,1100,6,-64425.5779668726,-0.21349877457513822,stop_loss,1.5
2025-02-06,2025-02-13,8268.176944335937,8313.393739899033,8317.552516157111,1100,7,5938.259275462478,0.5468774539721277,stop_loss,1.5
2025-02-27,2025-03-12,7875.553973144531,8421.419996093751,8113.574038551689,1200,13,607776.4228938874,6.931144460575234,signal,1.5
2025-03-18,2025-03-26,7667.694724365234,8109.764866455079,7720.598511720844,1300,8,525178.1652010791,5.765359185272478,signal,1.5
2025-04-08,2025-04-14,7403.6960917968745,7990.853648681641,7508.285110507171,1400,6,769883.8822208457,7.930600467722115,signal,1.5
2025-06-20,2025-07-18,8284.522026855468,8082.169308642107,8086.212414849531,1400,28,-338144.2414832283,-2.4425394435237724,stop_loss,1.5
2025-08-29,2025-09-08,7689.369618896484,7451.3889829134,7455.116541183991,1400,10,-383879.2528332118,-3.0949303750238744,stop_loss,1.5
2026-01-21,2026-01-28,7380.748588623046,7154.358212613365,7157.937181203967,1500,7,-391742.155716965,-3.0673091393283225,stop_loss,1.5
2026-04-24,2026-05-19,6053.025,5956.48800868994,5959.467742561221,1700,25,-213029.64185994118,-1.5948553212659644,stop_loss,1.5
2026-06-04,2026-06-05,5427.7125,5154.26519697536,5156.843618784752,1900,1,-567543.9191071503,-5.037984289415476,stop_loss,1.5
2026-06-08,2026-06-12,4852.425,5922.0375,5566.629863557371,2000,4,2086437.9674999993,22.042844557102903,signal,1.5
