entry_date,exit_date,entry_price,exit_price,stop_level,shares,hold_days,pnl,pnl_pct,exit_reason,atr_mult
2025-01-13,2025-01-15,3295.5512490234373,3497.4891501464845,3359.7056054286177,3000,2,556600.9056434315,6.12759098141431,signal,1.5
2025-02-14,2025-02-18,3304.1109466552734,3548.796979492188,3389.4181866635113,3100,4,707161.8034729995,7.405502926123231,signal,1.5
2025-02-20,2025-02-27,3346.9106561279295,3199.6850363719427,3201.285679211548,3300,7,-537450.6608067583,-4.398851205855414,stop_loss,1.5
2025-02-28,2025-03-06,2876.1175158691403,3377.7707189941407,3180.3464153932496,3700,6,1799654.2656111345,17.44202732875484,signal,1.5
2025-06-19,2025-07-04,3441.4906373291014,3320.9148728469886,3322.5761609274523,3600,15,-492282.8993674591,-3.503591239628945,stop_loss,1.5
2025-10-01,2025-10-06,3450.547165283203,3311.81816281578,3313.4749002659128,3400,5,-526623.6701623313,-4.0204928616310305,stop_loss,1.5
2025-10-14,2025-10-23,3215.0767056884765,3456.1458184814455,3295.126528372591,3500,9,787281.7546249758,7.4980827787543,signal,1.5
2025-11-28,2025-12-15,3332.8120576171873,3419.955670654297,3317.0611303271626,3600,17,255216.235257864,2.6147172877012848,signal,1.5
2026-01-28,2026-01-29,3373.572662109375,3548.567846069336,3393.0432590004743,3700,1,585689.8318489008,5.187236247359883,signal,1.5
2026-03-04,2026-03-09,3467.543940673828,3397.2923086171522,3398.9918045194117,3700,5,-320760.81898409873,-2.0259766929737633,stop_loss,1.5
2026-05-29,2026-06-03,2951.475,2922.115374655603,2923.577163237221,4300,5,-186798.7184528634,-0.994744165015693,stop_loss,1.5
2026-06-04,2026-06-08,2811.4049999999997,2676.696291463249,2678.0353091178076,4400,4,-650376.3080407735,-4.791508464157623,stop_loss,1.5
